target_id,cut_id,implementation_cut_leaves,mapped_source_cut_leaves,leaf_polarities,leaf_mapping_categories,all_leaves_formal,cut_size,cut_depth,validation_status,failure_reason,schema_version
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
full_adder_carry__b0,full_adder_carry__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
full_adder_carry__b0,full_adder_carry__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
full_adder_carry__b0,full_adder_carry__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
full_adder_carry__b0,full_adder_carry__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
