target_id,cut_id,target_function_id,backend,function_status,truth_table_hash,support_size,runtime_seconds,failure_reason,schema_version
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,new_n17|cut7,expr_897c711841ec6b2b,prior_materialized_truth_table,extracted,897c711841ec6b2b,3,0.000000,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,new_n19|cut13,expr_809c8f259f563c0d,prior_materialized_truth_table,extracted,809c8f259f563c0d,3,0.000000,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,new_n17|cut6,expr_a5c3dd48facf21ed,prior_materialized_truth_table,extracted,a5c3dd48facf21ed,2,0.000000,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,new_n17|cut7,expr_897c711841ec6b2b,prior_materialized_truth_table,extracted,897c711841ec6b2b,3,0.000000,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,new_n19|cut13,expr_809c8f259f563c0d,prior_materialized_truth_table,extracted,809c8f259f563c0d,3,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|dc2|new_n10,new_n10|cut3,expr_0b08e3dcc50fe4e5,prior_materialized_truth_table,extracted,0b08e3dcc50fe4e5,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,new_n12|cut3,expr_0b08e3dcc50fe4e5,prior_materialized_truth_table,extracted,0b08e3dcc50fe4e5,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,new_n9|cut3,expr_40510175845988f1,prior_materialized_truth_table,extracted,40510175845988f1,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,new_n18|cut3,expr_0b08e3dcc50fe4e5,prior_materialized_truth_table,extracted,0b08e3dcc50fe4e5,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,new_n24|cut3,expr_0b08e3dcc50fe4e5,prior_materialized_truth_table,extracted,0b08e3dcc50fe4e5,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,new_n27|cut3,expr_40510175845988f1,prior_materialized_truth_table,extracted,40510175845988f1,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,new_n28|cut3,expr_0b08e3dcc50fe4e5,prior_materialized_truth_table,extracted,0b08e3dcc50fe4e5,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,new_n15|cut7,expr_73c3c0ab5a84605d,prior_materialized_truth_table,extracted,73c3c0ab5a84605d,3,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,new_n19|cut7,expr_30b3a50f9cd967c3,prior_materialized_truth_table,extracted,30b3a50f9cd967c3,3,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,new_n29|cut7,expr_30b3a50f9cd967c3,prior_materialized_truth_table,extracted,30b3a50f9cd967c3,3,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,new_n15|cut3,expr_40510175845988f1,prior_materialized_truth_table,extracted,40510175845988f1,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,new_n19|cut3,expr_0b08e3dcc50fe4e5,prior_materialized_truth_table,extracted,0b08e3dcc50fe4e5,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,new_n29|cut3,expr_0b08e3dcc50fe4e5,prior_materialized_truth_table,extracted,0b08e3dcc50fe4e5,2,0.000000,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,new_n20|cut7,expr_95100b3f99837d6c,prior_materialized_truth_table,extracted,95100b3f99837d6c,3,0.000000,,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,R5_oracle_divisor_compact_decomposition,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,R5_oracle_divisor_compact_decomposition,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,R5_oracle_divisor_compact_decomposition,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R5_oracle_divisor_compact_decomposition,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R5_oracle_divisor_compact_decomposition,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R5_oracle_divisor_compact_decomposition,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R5_oracle_divisor_compact_decomposition,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
controlled_xor_factor__b0,controlled_xor_factor__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
full_adder_carry__b0,full_adder_carry__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
full_adder_carry__b0,full_adder_carry__b0__fresh_cut,R9_unresolved,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
full_adder_carry__b0,full_adder_carry__b0__fresh_cut,R8_non_local_global_factorisation,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
full_adder_carry__b0,full_adder_carry__b0__fresh_cut,R5_oracle_divisor_compact_decomposition,not_run_unanchored_fresh_target,not_extracted,,2,0.000000,no_globally_anchored_cut,active_source_counterpart_refactoring_v1
