candidate_id,region_id,case_id,family,operator,optimization,source_type,grammar_family,classification,proof_scope,canonical_form,rtl_text,candidate_rtl_cost,input_gate_count,reduction_rate,reduction_rate_ge_70,formal_runtime,selection_rank
arithmetic_constant_multiply_w4__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w4__identity__whole_output_cone,arithmetic_constant_multiply_w4,arithmetic,constant_multiply,identity,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<6,unsigned>(6'd3,a)",(a * 6'd3),4,6,33.333333,false,0.000854,1
arithmetic_constant_multiply_w6__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w6__identity__ground_truth_region,arithmetic_constant_multiply_w6,arithmetic,constant_multiply,identity,ground_truth_region,arithmetic_direct,formally_equivalent_alternative,region,"mul<8,unsigned>(8'd3,a)",(a * 8'd3),4,8,50.000000,false,0.013361,1
arithmetic_constant_multiply_w6__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w6__identity__whole_output_cone,arithmetic_constant_multiply_w6,arithmetic,constant_multiply,identity,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<8,unsigned>(8'd3,a)",(a * 8'd3),4,8,50.000000,false,0.013313,1
arithmetic_constant_multiply_w8__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w8__identity__ground_truth_region,arithmetic_constant_multiply_w8,arithmetic,constant_multiply,identity,ground_truth_region,arithmetic_direct,formally_equivalent_alternative,region,"mul<10,unsigned>(10'd3,a)",(a * 10'd3),4,10,60.000000,false,0.291756,1
arithmetic_constant_multiply_w8__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w8__identity__whole_output_cone,arithmetic_constant_multiply_w8,arithmetic,constant_multiply,identity,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<10,unsigned>(10'd3,a)",(a * 10'd3),4,10,60.000000,false,0.295901,1
arithmetic_reversed_sub_w2__balance__whole_output_cone__cand_0029,arithmetic_reversed_sub_w2__balance__whole_output_cone,arithmetic_reversed_sub_w2,arithmetic,reversed_sub,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,24,95.833333,true,0.001225,1
arithmetic_reversed_sub_w2__resub__whole_output_cone__cand_0029,arithmetic_reversed_sub_w2__resub__whole_output_cone,arithmetic_reversed_sub_w2,arithmetic,reversed_sub,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,19,94.736842,true,0.000837,1
arithmetic_signed_add_w2__balance__whole_output_cone__cand_0029,arithmetic_signed_add_w2__balance__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,25,96.000000,true,0.001001,1
arithmetic_signed_add_w2__resub__whole_output_cone__cand_0029,arithmetic_signed_add_w2__resub__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,18,94.444444,true,0.000772,1
arithmetic_signed_add_w2__rewrite__whole_output_cone__cand_0029,arithmetic_signed_add_w2__rewrite__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(a)",(a & 3'd0),1,14,92.857143,true,0.000630,1
arithmetic_sub_w2__balance__whole_output_cone__cand_0029,arithmetic_sub_w2__balance__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,19,94.736842,true,0.000800,1
arithmetic_sub_w2__compress2rs__whole_output_cone__cand_0029,arithmetic_sub_w2__compress2rs__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,compress2rs,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(a)",(a & 3'd0),1,10,90.000000,true,0.000498,1
arithmetic_sub_w2__dc2__whole_output_cone__cand_0029,arithmetic_sub_w2__dc2__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,dc2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(a)",(a & 3'd0),1,11,90.909091,true,0.000527,1
arithmetic_sub_w2__resub__whole_output_cone__cand_0029,arithmetic_sub_w2__resub__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,15,93.333333,true,0.000668,1
arithmetic_sub_w2__resyn2__whole_output_cone__cand_0029,arithmetic_sub_w2__resyn2__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,resyn2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(a)",(a & 3'd0),1,11,90.909091,true,0.000534,1
arithmetic_unsigned_add_w2__balance__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__balance__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,24,95.833333,true,0.000962,1
arithmetic_unsigned_add_w2__refactor__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__refactor__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,refactor,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,20,95.000000,true,0.001015,1
arithmetic_unsigned_add_w2__resub__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__resub__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,22,95.454545,true,0.000913,1
arithmetic_unsigned_add_w2__rewrite__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__rewrite__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,14,92.857143,true,0.000645,1
bitmanip_mask_low_w2__balance__whole_output_cone__cand_0019,bitmanip_mask_low_w2__balance__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,4,75.000000,true,0.000124,1
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0021,bitmanip_mask_low_w2__compress2rs__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,compress2rs,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<2,unsigned>(a)",(a | 2'd0),1,2,50.000000,false,0.000067,1
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0022,bitmanip_mask_low_w2__dc2__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,dc2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<2,unsigned>(a)",(a ^ 2'd0),1,2,50.000000,false,0.000058,1
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0022,bitmanip_mask_low_w2__refactor__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,refactor,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<2,unsigned>(a)",(a ^ 2'd0),1,2,50.000000,false,0.000058,1
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0022,bitmanip_mask_low_w2__resub__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<2,unsigned>(a)",(a ^ 2'd0),1,2,50.000000,false,0.000056,1
bitmanip_mask_low_w2__resyn2__whole_output_cone__cand_0022,bitmanip_mask_low_w2__resyn2__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,resyn2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<2,unsigned>(a)",(a ^ 2'd0),1,2,50.000000,false,0.000056,1
bitmanip_mask_low_w2__resyn__whole_output_cone__cand_0019,bitmanip_mask_low_w2__resyn__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,resyn,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,4,75.000000,true,0.000113,1
bitmanip_mask_low_w2__rewrite__whole_output_cone__cand_0019,bitmanip_mask_low_w2__rewrite__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,4,75.000000,true,0.000115,1
bitmanip_mask_low_w3__balance__whole_output_cone__cand_0024,bitmanip_mask_low_w3__balance__whole_output_cone,bitmanip_mask_low_w3,bitmanip,mask_low,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<3,unsigned>(a)",(a | 3'd0),1,3,66.666667,false,0.000063,1
bitmanip_mask_low_w3__compress2rs__whole_output_cone__cand_0024,bitmanip_mask_low_w3__compress2rs__whole_output_cone,bitmanip_mask_low_w3,bitmanip,mask_low,compress2rs,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<3,unsigned>(a)",(a | 3'd0),1,3,66.666667,false,0.000063,1
bitmanip_mask_low_w3__dc2__whole_output_cone__cand_0024,bitmanip_mask_low_w3__dc2__whole_output_cone,bitmanip_mask_low_w3,bitmanip,mask_low,dc2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<3,unsigned>(a)",(a | 3'd0),1,3,66.666667,false,0.000061,1
bitmanip_mask_low_w3__refactor__whole_output_cone__cand_0024,bitmanip_mask_low_w3__refactor__whole_output_cone,bitmanip_mask_low_w3,bitmanip,mask_low,refactor,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<3,unsigned>(a)",(a | 3'd0),1,3,66.666667,false,0.000062,1
bitmanip_mask_low_w3__resub__whole_output_cone__cand_0024,bitmanip_mask_low_w3__resub__whole_output_cone,bitmanip_mask_low_w3,bitmanip,mask_low,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<3,unsigned>(a)",(a | 3'd0),1,3,66.666667,false,0.000061,1
bitmanip_mask_low_w3__resyn2__whole_output_cone__cand_0024,bitmanip_mask_low_w3__resyn2__whole_output_cone,bitmanip_mask_low_w3,bitmanip,mask_low,resyn2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<3,unsigned>(a)",(a | 3'd0),1,3,66.666667,false,0.000061,1
bitmanip_mask_low_w3__resyn__whole_output_cone__cand_0024,bitmanip_mask_low_w3__resyn__whole_output_cone,bitmanip_mask_low_w3,bitmanip,mask_low,resyn,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<3,unsigned>(a)",(a | 3'd0),1,3,66.666667,false,0.000061,1
bitmanip_mask_low_w3__rewrite__whole_output_cone__cand_0025,bitmanip_mask_low_w3__rewrite__whole_output_cone,bitmanip_mask_low_w3,bitmanip,mask_low,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<3,unsigned>(a)",(a ^ 3'd0),1,3,66.666667,false,0.000061,1
bitmanip_mask_low_w4__balance__whole_output_cone__cand_0023,bitmanip_mask_low_w4__balance__whole_output_cone,bitmanip_mask_low_w4,bitmanip,mask_low,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<4,unsigned>(a)",(a | 4'd0),1,4,75.000000,true,0.000095,1
bitmanip_mask_low_w4__compress2rs__whole_output_cone__cand_0024,bitmanip_mask_low_w4__compress2rs__whole_output_cone,bitmanip_mask_low_w4,bitmanip,mask_low,compress2rs,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<4,unsigned>(a)",(a ^ 4'd0),1,4,75.000000,true,0.000093,1
bitmanip_mask_low_w4__dc2__whole_output_cone__cand_0023,bitmanip_mask_low_w4__dc2__whole_output_cone,bitmanip_mask_low_w4,bitmanip,mask_low,dc2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<4,unsigned>(a)",(a | 4'd0),1,4,75.000000,true,0.000094,1
bitmanip_mask_low_w4__refactor__whole_output_cone__cand_0024,bitmanip_mask_low_w4__refactor__whole_output_cone,bitmanip_mask_low_w4,bitmanip,mask_low,refactor,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<4,unsigned>(a)",(a ^ 4'd0),1,4,75.000000,true,0.000094,1
bitmanip_mask_low_w4__resub__whole_output_cone__cand_0024,bitmanip_mask_low_w4__resub__whole_output_cone,bitmanip_mask_low_w4,bitmanip,mask_low,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<4,unsigned>(a)",(a ^ 4'd0),1,4,75.000000,true,0.000094,1
bitmanip_mask_low_w4__resyn2__whole_output_cone__cand_0024,bitmanip_mask_low_w4__resyn2__whole_output_cone,bitmanip_mask_low_w4,bitmanip,mask_low,resyn2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<4,unsigned>(a)",(a ^ 4'd0),1,4,75.000000,true,0.000093,1
bitmanip_mask_low_w4__resyn__whole_output_cone__cand_0024,bitmanip_mask_low_w4__resyn__whole_output_cone,bitmanip_mask_low_w4,bitmanip,mask_low,resyn,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<4,unsigned>(a)",(a ^ 4'd0),1,4,75.000000,true,0.000094,1
bitmanip_mask_low_w4__rewrite__whole_output_cone__cand_0024,bitmanip_mask_low_w4__rewrite__whole_output_cone,bitmanip_mask_low_w4,bitmanip,mask_low,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<4,unsigned>(a)",(a ^ 4'd0),1,4,75.000000,true,0.000093,1
bitmanip_rotate_left_w2__balance__whole_output_cone__cand_0020,bitmanip_rotate_left_w2__balance__whole_output_cone,bitmanip_rotate_left_w2,bitmanip,rotate_left,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,5,80.000000,true,0.000128,1
bitmanip_rotate_left_w2__resyn__whole_output_cone__cand_0020,bitmanip_rotate_left_w2__resyn__whole_output_cone,bitmanip_rotate_left_w2,bitmanip,rotate_left,resyn,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,5,80.000000,true,0.000121,1
bitmanip_rotate_left_w2__rewrite__whole_output_cone__cand_0020,bitmanip_rotate_left_w2__rewrite__whole_output_cone,bitmanip_rotate_left_w2,bitmanip,rotate_left,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,5,80.000000,true,0.000126,1
bitmanip_shift_left_w2__balance__whole_output_cone__cand_0019,bitmanip_shift_left_w2__balance__whole_output_cone,bitmanip_shift_left_w2,bitmanip,shift_left,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,4,75.000000,true,0.000142,1
bitmanip_shift_left_w2__compress2rs__whole_output_cone__cand_0017,bitmanip_shift_left_w2__compress2rs__whole_output_cone,bitmanip_shift_left_w2,bitmanip,shift_left,compress2rs,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<2,unsigned>(a)",(a << 1),1,2,50.000000,false,0.000086,1
bitmanip_shift_left_w2__dc2__whole_output_cone__cand_0017,bitmanip_shift_left_w2__dc2__whole_output_cone,bitmanip_shift_left_w2,bitmanip,shift_left,dc2,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<2,unsigned>(a)",(a << 1),1,2,50.000000,false,0.000077,1
bitmanip_shift_left_w2__identity__ground_truth_region__cand_0016,bitmanip_shift_left_w2__identity__ground_truth_region,bitmanip_shift_left_w2,bitmanip,shift_left,identity,ground_truth_region,bitmanip_direct,exact_syntactic_match,region,"shl<2,unsigned>(a)",(a << 1),1,2,50.000000,false,0.000132,1
bitmanip_shift_left_w2__identity__whole_output_cone__cand_0016,bitmanip_shift_left_w2__identity__whole_output_cone,bitmanip_shift_left_w2,bitmanip,shift_left,identity,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<2,unsigned>(a)",(a << 1),1,2,50.000000,false,0.000102,1
bitmanip_shift_left_w2__refactor__whole_output_cone__cand_0017,bitmanip_shift_left_w2__refactor__whole_output_cone,bitmanip_shift_left_w2,bitmanip,shift_left,refactor,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<2,unsigned>(a)",(a << 1),1,2,50.000000,false,0.000070,1
bitmanip_shift_left_w2__resub__whole_output_cone__cand_0017,bitmanip_shift_left_w2__resub__whole_output_cone,bitmanip_shift_left_w2,bitmanip,shift_left,resub,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<2,unsigned>(a)",(a << 1),1,2,50.000000,false,0.000070,1
bitmanip_shift_left_w2__resyn2__whole_output_cone__cand_0017,bitmanip_shift_left_w2__resyn2__whole_output_cone,bitmanip_shift_left_w2,bitmanip,shift_left,resyn2,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<2,unsigned>(a)",(a << 1),1,2,50.000000,false,0.000070,1
bitmanip_shift_left_w2__resyn__whole_output_cone__cand_0019,bitmanip_shift_left_w2__resyn__whole_output_cone,bitmanip_shift_left_w2,bitmanip,shift_left,resyn,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,4,75.000000,true,0.000108,1
bitmanip_shift_left_w2__rewrite__whole_output_cone__cand_0019,bitmanip_shift_left_w2__rewrite__whole_output_cone,bitmanip_shift_left_w2,bitmanip,shift_left,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,4,75.000000,true,0.000107,1
bitmanip_shift_left_w3__balance__whole_output_cone__cand_0019,bitmanip_shift_left_w3__balance__whole_output_cone,bitmanip_shift_left_w3,bitmanip,shift_left,balance,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000108,1
bitmanip_shift_left_w3__compress2rs__whole_output_cone__cand_0019,bitmanip_shift_left_w3__compress2rs__whole_output_cone,bitmanip_shift_left_w3,bitmanip,shift_left,compress2rs,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000100,1
bitmanip_shift_left_w3__dc2__whole_output_cone__cand_0019,bitmanip_shift_left_w3__dc2__whole_output_cone,bitmanip_shift_left_w3,bitmanip,shift_left,dc2,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000100,1
bitmanip_shift_left_w3__identity__ground_truth_region__cand_0019,bitmanip_shift_left_w3__identity__ground_truth_region,bitmanip_shift_left_w3,bitmanip,shift_left,identity,ground_truth_region,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000187,1
bitmanip_shift_left_w3__identity__whole_output_cone__cand_0019,bitmanip_shift_left_w3__identity__whole_output_cone,bitmanip_shift_left_w3,bitmanip,shift_left,identity,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000185,1
bitmanip_shift_left_w3__refactor__whole_output_cone__cand_0019,bitmanip_shift_left_w3__refactor__whole_output_cone,bitmanip_shift_left_w3,bitmanip,shift_left,refactor,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000102,1
bitmanip_shift_left_w3__resub__whole_output_cone__cand_0019,bitmanip_shift_left_w3__resub__whole_output_cone,bitmanip_shift_left_w3,bitmanip,shift_left,resub,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000100,1
bitmanip_shift_left_w3__resyn2__whole_output_cone__cand_0019,bitmanip_shift_left_w3__resyn2__whole_output_cone,bitmanip_shift_left_w3,bitmanip,shift_left,resyn2,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000099,1
bitmanip_shift_left_w3__resyn__whole_output_cone__cand_0019,bitmanip_shift_left_w3__resyn__whole_output_cone,bitmanip_shift_left_w3,bitmanip,shift_left,resyn,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000104,1
bitmanip_shift_left_w3__rewrite__whole_output_cone__cand_0019,bitmanip_shift_left_w3__rewrite__whole_output_cone,bitmanip_shift_left_w3,bitmanip,shift_left,rewrite,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<3,unsigned>(a)",(a << 1),1,3,66.666667,false,0.000099,1
bitmanip_shift_left_w4__balance__whole_output_cone__cand_0019,bitmanip_shift_left_w4__balance__whole_output_cone,bitmanip_shift_left_w4,bitmanip,shift_left,balance,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<4,unsigned>(a)",(a << 1),1,4,75.000000,true,0.000173,1
bitmanip_shift_left_w4__compress2rs__whole_output_cone__cand_0019,bitmanip_shift_left_w4__compress2rs__whole_output_cone,bitmanip_shift_left_w4,bitmanip,shift_left,compress2rs,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<4,unsigned>(a)",(a << 1),1,4,75.000000,true,0.000167,1
bitmanip_shift_left_w4__dc2__whole_output_cone__cand_0019,bitmanip_shift_left_w4__dc2__whole_output_cone,bitmanip_shift_left_w4,bitmanip,shift_left,dc2,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<4,unsigned>(a)",(a << 1),1,4,75.000000,true,0.000166,1
bitmanip_shift_left_w4__identity__ground_truth_region__cand_0019,bitmanip_shift_left_w4__identity__ground_truth_region,bitmanip_shift_left_w4,bitmanip,shift_left,identity,ground_truth_region,bitmanip_direct,exact_syntactic_match,region,"shl<4,unsigned>(a)",(a << 1),1,4,75.000000,true,0.000542,1
bitmanip_shift_left_w4__identity__whole_output_cone__cand_0019,bitmanip_shift_left_w4__identity__whole_output_cone,bitmanip_shift_left_w4,bitmanip,shift_left,identity,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<4,unsigned>(a)",(a << 1),1,4,75.000000,true,0.000533,1
bitmanip_shift_left_w4__refactor__whole_output_cone__cand_0019,bitmanip_shift_left_w4__refactor__whole_output_cone,bitmanip_shift_left_w4,bitmanip,shift_left,refactor,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<4,unsigned>(a)",(a << 1),1,4,75.000000,true,0.000169,1
bitmanip_shift_left_w4__resub__whole_output_cone__cand_0019,bitmanip_shift_left_w4__resub__whole_output_cone,bitmanip_shift_left_w4,bitmanip,shift_left,resub,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<4,unsigned>(a)",(a << 1),1,4,75.000000,true,0.000162,1
bitmanip_shift_left_w4__resyn2__whole_output_cone__cand_0019,bitmanip_shift_left_w4__resyn2__whole_output_cone,bitmanip_shift_left_w4,bitmanip,shift_left,resyn2,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<4,unsigned>(a)",(a << 1),1,4,75.000000,true,0.000162,1
bitmanip_shift_left_w4__resyn__whole_output_cone__cand_0019,bitmanip_shift_left_w4__resyn__whole_output_cone,bitmanip_shift_left_w4,bitmanip,shift_left,resyn,whole_output_cone,bitmanip_direct,exact_syntactic_match,region,"shl<4,unsigned>(a)",(a << 1),1,4,75.000000,true,0.000163,1
