candidate_id,region_id,formal_status,proof_scope,formal_evidence_level,formal_patterns,counterexample_available,counterexample_assignment,counterexample_output_difference,counterexample_source,formal_runtime,formal_skip_reason,schema_version
arithmetic_constant_multiply_w8__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w8__identity__ground_truth_region,formally_verified_region,region,formal_exhaustive,256,false,{},,,0.291756,,semantic_formal_validation_v1
arithmetic_constant_multiply_w8__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w8__identity__whole_output_cone,formally_verified_region,region,formal_exhaustive,256,false,{},,,0.295901,,semantic_formal_validation_v1
arithmetic_reversed_sub_w2__balance__whole_output_cone__cand_0029,arithmetic_reversed_sub_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.001225,,semantic_formal_validation_v1
arithmetic_reversed_sub_w2__balance__whole_output_cone__cand_0005,arithmetic_reversed_sub_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000952,,semantic_formal_validation_v1
arithmetic_reversed_sub_w2__balance__whole_output_cone__cand_0022,arithmetic_reversed_sub_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000953,,semantic_formal_validation_v1
arithmetic_reversed_sub_w2__resub__whole_output_cone__cand_0029,arithmetic_reversed_sub_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000837,,semantic_formal_validation_v1
arithmetic_reversed_sub_w2__resub__whole_output_cone__cand_0005,arithmetic_reversed_sub_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000793,,semantic_formal_validation_v1
arithmetic_reversed_sub_w2__resub__whole_output_cone__cand_0022,arithmetic_reversed_sub_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000787,,semantic_formal_validation_v1
arithmetic_signed_add_w2__balance__whole_output_cone__cand_0029,arithmetic_signed_add_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.001001,,semantic_formal_validation_v1
arithmetic_signed_add_w2__balance__whole_output_cone__cand_0005,arithmetic_signed_add_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000989,,semantic_formal_validation_v1
arithmetic_signed_add_w2__balance__whole_output_cone__cand_0022,arithmetic_signed_add_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000974,,semantic_formal_validation_v1
arithmetic_signed_add_w2__resub__whole_output_cone__cand_0029,arithmetic_signed_add_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000772,,semantic_formal_validation_v1
arithmetic_signed_add_w2__resub__whole_output_cone__cand_0005,arithmetic_signed_add_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000748,,semantic_formal_validation_v1
arithmetic_signed_add_w2__resub__whole_output_cone__cand_0022,arithmetic_signed_add_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000744,,semantic_formal_validation_v1
arithmetic_signed_add_w2__rewrite__whole_output_cone__cand_0029,arithmetic_signed_add_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000630,,semantic_formal_validation_v1
arithmetic_signed_add_w2__rewrite__whole_output_cone__cand_0005,arithmetic_signed_add_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000607,,semantic_formal_validation_v1
arithmetic_signed_add_w2__rewrite__whole_output_cone__cand_0022,arithmetic_signed_add_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000604,,semantic_formal_validation_v1
arithmetic_sub_w2__balance__whole_output_cone__cand_0029,arithmetic_sub_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000800,,semantic_formal_validation_v1
arithmetic_sub_w2__balance__whole_output_cone__cand_0005,arithmetic_sub_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000785,,semantic_formal_validation_v1
arithmetic_sub_w2__balance__whole_output_cone__cand_0022,arithmetic_sub_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000776,,semantic_formal_validation_v1
arithmetic_sub_w2__compress2rs__whole_output_cone__cand_0029,arithmetic_sub_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000498,,semantic_formal_validation_v1
arithmetic_sub_w2__compress2rs__whole_output_cone__cand_0005,arithmetic_sub_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000484,,semantic_formal_validation_v1
arithmetic_sub_w2__compress2rs__whole_output_cone__cand_0022,arithmetic_sub_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000478,,semantic_formal_validation_v1
arithmetic_sub_w2__dc2__whole_output_cone__cand_0029,arithmetic_sub_w2__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000527,,semantic_formal_validation_v1
arithmetic_sub_w2__dc2__whole_output_cone__cand_0005,arithmetic_sub_w2__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000533,,semantic_formal_validation_v1
arithmetic_sub_w2__dc2__whole_output_cone__cand_0022,arithmetic_sub_w2__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000538,,semantic_formal_validation_v1
arithmetic_sub_w2__resub__whole_output_cone__cand_0029,arithmetic_sub_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000668,,semantic_formal_validation_v1
arithmetic_sub_w2__resub__whole_output_cone__cand_0005,arithmetic_sub_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000644,,semantic_formal_validation_v1
arithmetic_sub_w2__resub__whole_output_cone__cand_0022,arithmetic_sub_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000644,,semantic_formal_validation_v1
arithmetic_sub_w2__resyn2__whole_output_cone__cand_0029,arithmetic_sub_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000534,,semantic_formal_validation_v1
arithmetic_sub_w2__resyn2__whole_output_cone__cand_0005,arithmetic_sub_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000514,,semantic_formal_validation_v1
arithmetic_sub_w2__resyn2__whole_output_cone__cand_0022,arithmetic_sub_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000513,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__balance__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000962,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__balance__whole_output_cone__cand_0005,arithmetic_unsigned_add_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000945,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__balance__whole_output_cone__cand_0022,arithmetic_unsigned_add_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.001097,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__refactor__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.001015,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__refactor__whole_output_cone__cand_0005,arithmetic_unsigned_add_w2__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000860,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__refactor__whole_output_cone__cand_0022,arithmetic_unsigned_add_w2__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000836,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__resub__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000913,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__resub__whole_output_cone__cand_0005,arithmetic_unsigned_add_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000899,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__resub__whole_output_cone__cand_0022,arithmetic_unsigned_add_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000887,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__rewrite__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000645,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__rewrite__whole_output_cone__cand_0005,arithmetic_unsigned_add_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000626,,semantic_formal_validation_v1
arithmetic_unsigned_add_w2__rewrite__whole_output_cone__cand_0022,arithmetic_unsigned_add_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000622,,semantic_formal_validation_v1
bitmanip_mask_low_w2__balance__whole_output_cone__cand_0019,bitmanip_mask_low_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000124,,semantic_formal_validation_v1
bitmanip_mask_low_w2__balance__whole_output_cone__cand_0005,bitmanip_mask_low_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000101,,semantic_formal_validation_v1
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0001,bitmanip_mask_low_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000091,,semantic_formal_validation_v1
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0021,bitmanip_mask_low_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000067,,semantic_formal_validation_v1
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0022,bitmanip_mask_low_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000068,,semantic_formal_validation_v1
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0003,bitmanip_mask_low_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000065,,semantic_formal_validation_v1
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0004,bitmanip_mask_low_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000063,,semantic_formal_validation_v1
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0008,bitmanip_mask_low_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000059,,semantic_formal_validation_v1
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0001,bitmanip_mask_low_w2__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000075,,semantic_formal_validation_v1
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0021,bitmanip_mask_low_w2__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000071,,semantic_formal_validation_v1
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0022,bitmanip_mask_low_w2__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000058,,semantic_formal_validation_v1
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0003,bitmanip_mask_low_w2__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0004,bitmanip_mask_low_w2__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000057,,semantic_formal_validation_v1
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0008,bitmanip_mask_low_w2__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000056,,semantic_formal_validation_v1
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0001,bitmanip_mask_low_w2__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000076,,semantic_formal_validation_v1
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0021,bitmanip_mask_low_w2__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000074,,semantic_formal_validation_v1
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0022,bitmanip_mask_low_w2__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000058,,semantic_formal_validation_v1
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0003,bitmanip_mask_low_w2__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000057,,semantic_formal_validation_v1
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0004,bitmanip_mask_low_w2__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000056,,semantic_formal_validation_v1
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0008,bitmanip_mask_low_w2__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000056,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0001,bitmanip_mask_low_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000068,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0021,bitmanip_mask_low_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000057,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0022,bitmanip_mask_low_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000056,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0003,bitmanip_mask_low_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000057,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0004,bitmanip_mask_low_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000056,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0008,bitmanip_mask_low_w2__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000055,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resyn2__whole_output_cone__cand_0001,bitmanip_mask_low_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000068,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resyn2__whole_output_cone__cand_0021,bitmanip_mask_low_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000057,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resyn2__whole_output_cone__cand_0022,bitmanip_mask_low_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000056,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resyn2__whole_output_cone__cand_0003,bitmanip_mask_low_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000057,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resyn2__whole_output_cone__cand_0004,bitmanip_mask_low_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000055,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resyn2__whole_output_cone__cand_0008,bitmanip_mask_low_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000055,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resyn__whole_output_cone__cand_0019,bitmanip_mask_low_w2__resyn__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000113,,semantic_formal_validation_v1
bitmanip_mask_low_w2__resyn__whole_output_cone__cand_0005,bitmanip_mask_low_w2__resyn__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000096,,semantic_formal_validation_v1
bitmanip_mask_low_w2__rewrite__whole_output_cone__cand_0019,bitmanip_mask_low_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000115,,semantic_formal_validation_v1
bitmanip_mask_low_w2__rewrite__whole_output_cone__cand_0005,bitmanip_mask_low_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000093,,semantic_formal_validation_v1
bitmanip_mask_low_w3__balance__whole_output_cone__cand_0001,bitmanip_mask_low_w3__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000082,,semantic_formal_validation_v1
bitmanip_mask_low_w3__balance__whole_output_cone__cand_0024,bitmanip_mask_low_w3__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000063,,semantic_formal_validation_v1
bitmanip_mask_low_w3__balance__whole_output_cone__cand_0025,bitmanip_mask_low_w3__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000063,,semantic_formal_validation_v1
bitmanip_mask_low_w3__balance__whole_output_cone__cand_0003,bitmanip_mask_low_w3__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000063,,semantic_formal_validation_v1
bitmanip_mask_low_w3__balance__whole_output_cone__cand_0004,bitmanip_mask_low_w3__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000064,,semantic_formal_validation_v1
bitmanip_mask_low_w3__balance__whole_output_cone__cand_0008,bitmanip_mask_low_w3__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000063,,semantic_formal_validation_v1
bitmanip_mask_low_w3__compress2rs__whole_output_cone__cand_0001,bitmanip_mask_low_w3__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000077,,semantic_formal_validation_v1
bitmanip_mask_low_w3__compress2rs__whole_output_cone__cand_0024,bitmanip_mask_low_w3__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000063,,semantic_formal_validation_v1
bitmanip_mask_low_w3__compress2rs__whole_output_cone__cand_0025,bitmanip_mask_low_w3__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000072,,semantic_formal_validation_v1
bitmanip_mask_low_w3__compress2rs__whole_output_cone__cand_0003,bitmanip_mask_low_w3__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000062,,semantic_formal_validation_v1
bitmanip_mask_low_w3__compress2rs__whole_output_cone__cand_0004,bitmanip_mask_low_w3__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w3__compress2rs__whole_output_cone__cand_0008,bitmanip_mask_low_w3__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w3__dc2__whole_output_cone__cand_0001,bitmanip_mask_low_w3__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000076,,semantic_formal_validation_v1
bitmanip_mask_low_w3__dc2__whole_output_cone__cand_0024,bitmanip_mask_low_w3__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w3__dc2__whole_output_cone__cand_0025,bitmanip_mask_low_w3__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000062,,semantic_formal_validation_v1
bitmanip_mask_low_w3__dc2__whole_output_cone__cand_0003,bitmanip_mask_low_w3__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000062,,semantic_formal_validation_v1
bitmanip_mask_low_w3__dc2__whole_output_cone__cand_0004,bitmanip_mask_low_w3__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000062,,semantic_formal_validation_v1
bitmanip_mask_low_w3__dc2__whole_output_cone__cand_0008,bitmanip_mask_low_w3__dc2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000060,,semantic_formal_validation_v1
bitmanip_mask_low_w3__refactor__whole_output_cone__cand_0001,bitmanip_mask_low_w3__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000076,,semantic_formal_validation_v1
bitmanip_mask_low_w3__refactor__whole_output_cone__cand_0024,bitmanip_mask_low_w3__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000062,,semantic_formal_validation_v1
bitmanip_mask_low_w3__refactor__whole_output_cone__cand_0025,bitmanip_mask_low_w3__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000062,,semantic_formal_validation_v1
bitmanip_mask_low_w3__refactor__whole_output_cone__cand_0003,bitmanip_mask_low_w3__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w3__refactor__whole_output_cone__cand_0004,bitmanip_mask_low_w3__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w3__refactor__whole_output_cone__cand_0008,bitmanip_mask_low_w3__refactor__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000060,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resub__whole_output_cone__cand_0001,bitmanip_mask_low_w3__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000074,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resub__whole_output_cone__cand_0024,bitmanip_mask_low_w3__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resub__whole_output_cone__cand_0025,bitmanip_mask_low_w3__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000062,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resub__whole_output_cone__cand_0003,bitmanip_mask_low_w3__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000060,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resub__whole_output_cone__cand_0004,bitmanip_mask_low_w3__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000062,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resub__whole_output_cone__cand_0008,bitmanip_mask_low_w3__resub__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000060,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resyn2__whole_output_cone__cand_0001,bitmanip_mask_low_w3__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000073,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resyn2__whole_output_cone__cand_0024,bitmanip_mask_low_w3__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resyn2__whole_output_cone__cand_0025,bitmanip_mask_low_w3__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resyn2__whole_output_cone__cand_0003,bitmanip_mask_low_w3__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resyn2__whole_output_cone__cand_0004,bitmanip_mask_low_w3__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000060,,semantic_formal_validation_v1
bitmanip_mask_low_w3__resyn2__whole_output_cone__cand_0008,bitmanip_mask_low_w3__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,2,false,{},,,0.000061,,semantic_formal_validation_v1
