region_id,case_id,optimization,source_type,candidate_family,family_score,feature_contributions,rank,ground_truth_family,ground_truth_rank
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,arithmetic_affine_or_mac,0.614583,"{""broad_dependency"":0.25,""carry_progression"":0.05208325,""moderate_bandwidth"":0.125,""multi_input"":0.1875}",3,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,comparison,0.450000,"{""high_bit_priority"":0.2,""high_density"":0.25,""single_output"":0.0}",4,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,arithmetic_add_sub,0.407917,"{""carry_progression"":0.09374985,""lower_triangularity"":0.10416675,""moderate_density"":0.11000000000000001,""multi_output"":0.1}",5,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,bit_manipulation,0.316667,"{""diagonal_or_shift"":0.04166675,""locality"":0.0,""regularity"":0.2,""sparse_or_permutation"":0.075}",6,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,boolean_bitwise,0.291667,"{""diagonal"":0.09166685000000001,""locality"":0.0,""regularity"":0.2}",7,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_add_sub,5
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,arithmetic_add_sub,0.813281,"{""carry_progression"":0.34453125,""lower_triangularity"":0.21875,""moderate_density"":0.15000000000000002,""multi_output"":0.1}",1,arithmetic_affine_or_mac,3
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,arithmetic_multiply,0.645000,"{""broad_dependency"":0.27999999999999997,""low_diagonal"":0.075,""multi_output"":0.15,""multiplier_geometry"":0.13999999999999999}",2,arithmetic_affine_or_mac,3
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,arithmetic_affine_or_mac,0.641406,"{""broad_dependency"":0.2,""carry_progression"":0.19140625,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",3,arithmetic_affine_or_mac,3
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,bit_manipulation,0.510000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.13499999999999998}",4,arithmetic_affine_or_mac,3
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,boolean_bitwise,0.462500,"{""diagonal"":0.275,""locality"":0.1875,""regularity"":0.0}",5,arithmetic_affine_or_mac,3
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,3
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,comparison,0.333333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.2,""single_output"":0.0}",7,arithmetic_affine_or_mac,3
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,3
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,arithmetic_add_sub,0.933750,"{""carry_progression"":0.39375,""lower_triangularity"":0.25,""moderate_density"":0.19000000000000003,""multi_output"":0.1}",1,arithmetic_affine_or_mac,2
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,arithmetic_affine_or_mac,0.618750,"{""broad_dependency"":0.15,""carry_progression"":0.21875,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",2,arithmetic_affine_or_mac,2
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,bit_manipulation,0.570000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.195}",3,arithmetic_affine_or_mac,2
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,boolean_bitwise,0.554167,"{""diagonal"":0.36666685000000004,""locality"":0.1875,""regularity"":0.0}",4,arithmetic_affine_or_mac,2
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,arithmetic_multiply,0.480000,"{""broad_dependency"":0.21,""low_diagonal"":0.049999949999999994,""multi_output"":0.15,""multiplier_geometry"":0.06999999999999999}",5,arithmetic_affine_or_mac,2
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,2
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,comparison,0.283333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.15,""single_output"":0.0}",7,arithmetic_affine_or_mac,2
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,2
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,arithmetic_add_sub,0.933750,"{""carry_progression"":0.39375,""lower_triangularity"":0.25,""moderate_density"":0.19000000000000003,""multi_output"":0.1}",1,arithmetic_affine_or_mac,2
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,arithmetic_affine_or_mac,0.618750,"{""broad_dependency"":0.15,""carry_progression"":0.21875,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",2,arithmetic_affine_or_mac,2
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,bit_manipulation,0.570000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.195}",3,arithmetic_affine_or_mac,2
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,boolean_bitwise,0.554167,"{""diagonal"":0.36666685000000004,""locality"":0.1875,""regularity"":0.0}",4,arithmetic_affine_or_mac,2
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,arithmetic_multiply,0.480000,"{""broad_dependency"":0.21,""low_diagonal"":0.049999949999999994,""multi_output"":0.15,""multiplier_geometry"":0.06999999999999999}",5,arithmetic_affine_or_mac,2
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,2
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,comparison,0.283333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.15,""single_output"":0.0}",7,arithmetic_affine_or_mac,2
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,2
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,arithmetic_add_sub,0.813281,"{""carry_progression"":0.34453125,""lower_triangularity"":0.21875,""moderate_density"":0.15000000000000002,""multi_output"":0.1}",1,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,arithmetic_multiply,0.645000,"{""broad_dependency"":0.27999999999999997,""low_diagonal"":0.075,""multi_output"":0.15,""multiplier_geometry"":0.13999999999999999}",2,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,arithmetic_affine_or_mac,0.641406,"{""broad_dependency"":0.2,""carry_progression"":0.19140625,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",3,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,bit_manipulation,0.510000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.13499999999999998}",4,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,boolean_bitwise,0.462500,"{""diagonal"":0.275,""locality"":0.1875,""regularity"":0.0}",5,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,comparison,0.333333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.2,""single_output"":0.0}",7,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,arithmetic_add_sub,0.813281,"{""carry_progression"":0.34453125,""lower_triangularity"":0.21875,""moderate_density"":0.15000000000000002,""multi_output"":0.1}",1,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,arithmetic_multiply,0.645000,"{""broad_dependency"":0.27999999999999997,""low_diagonal"":0.075,""multi_output"":0.15,""multiplier_geometry"":0.13999999999999999}",2,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,arithmetic_affine_or_mac,0.641406,"{""broad_dependency"":0.2,""carry_progression"":0.19140625,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",3,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,bit_manipulation,0.510000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.13499999999999998}",4,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,boolean_bitwise,0.462500,"{""diagonal"":0.275,""locality"":0.1875,""regularity"":0.0}",5,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,comparison,0.333333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.2,""single_output"":0.0}",7,arithmetic_affine_or_mac,3
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,3
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,arithmetic_add_sub,0.933750,"{""carry_progression"":0.39375,""lower_triangularity"":0.25,""moderate_density"":0.19000000000000003,""multi_output"":0.1}",1,arithmetic_affine_or_mac,2
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,arithmetic_affine_or_mac,0.618750,"{""broad_dependency"":0.15,""carry_progression"":0.21875,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",2,arithmetic_affine_or_mac,2
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,bit_manipulation,0.570000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.195}",3,arithmetic_affine_or_mac,2
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,boolean_bitwise,0.554167,"{""diagonal"":0.36666685000000004,""locality"":0.1875,""regularity"":0.0}",4,arithmetic_affine_or_mac,2
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,arithmetic_multiply,0.480000,"{""broad_dependency"":0.21,""low_diagonal"":0.049999949999999994,""multi_output"":0.15,""multiplier_geometry"":0.06999999999999999}",5,arithmetic_affine_or_mac,2
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,2
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,comparison,0.283333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.15,""single_output"":0.0}",7,arithmetic_affine_or_mac,2
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,arithmetic_add_sub,0.933750,"{""carry_progression"":0.39375,""lower_triangularity"":0.25,""moderate_density"":0.19000000000000003,""multi_output"":0.1}",1,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,arithmetic_affine_or_mac,0.618750,"{""broad_dependency"":0.15,""carry_progression"":0.21875,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",2,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,bit_manipulation,0.570000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.195}",3,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,boolean_bitwise,0.554167,"{""diagonal"":0.36666685000000004,""locality"":0.1875,""regularity"":0.0}",4,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,arithmetic_multiply,0.480000,"{""broad_dependency"":0.21,""low_diagonal"":0.049999949999999994,""multi_output"":0.15,""multiplier_geometry"":0.06999999999999999}",5,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,comparison,0.283333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.15,""single_output"":0.0}",7,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,arithmetic_add_sub,0.933750,"{""carry_progression"":0.39375,""lower_triangularity"":0.25,""moderate_density"":0.19000000000000003,""multi_output"":0.1}",1,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,arithmetic_affine_or_mac,0.618750,"{""broad_dependency"":0.15,""carry_progression"":0.21875,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",2,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,bit_manipulation,0.570000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.195}",3,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,boolean_bitwise,0.554167,"{""diagonal"":0.36666685000000004,""locality"":0.1875,""regularity"":0.0}",4,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,arithmetic_multiply,0.480000,"{""broad_dependency"":0.21,""low_diagonal"":0.049999949999999994,""multi_output"":0.15,""multiplier_geometry"":0.06999999999999999}",5,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,comparison,0.283333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.15,""single_output"":0.0}",7,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,2
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,arithmetic_add_sub,0.813281,"{""carry_progression"":0.34453125,""lower_triangularity"":0.21875,""moderate_density"":0.15000000000000002,""multi_output"":0.1}",1,arithmetic_affine_or_mac,3
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,arithmetic_multiply,0.645000,"{""broad_dependency"":0.27999999999999997,""low_diagonal"":0.075,""multi_output"":0.15,""multiplier_geometry"":0.13999999999999999}",2,arithmetic_affine_or_mac,3
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,arithmetic_affine_or_mac,0.641406,"{""broad_dependency"":0.2,""carry_progression"":0.19140625,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",3,arithmetic_affine_or_mac,3
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,bit_manipulation,0.510000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.13499999999999998}",4,arithmetic_affine_or_mac,3
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,boolean_bitwise,0.462500,"{""diagonal"":0.275,""locality"":0.1875,""regularity"":0.0}",5,arithmetic_affine_or_mac,3
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,3
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,comparison,0.333333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.2,""single_output"":0.0}",7,arithmetic_affine_or_mac,3
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,3
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,arithmetic_add_sub,0.813281,"{""carry_progression"":0.34453125,""lower_triangularity"":0.21875,""moderate_density"":0.15000000000000002,""multi_output"":0.1}",1,arithmetic_affine_or_mac,3
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,arithmetic_multiply,0.645000,"{""broad_dependency"":0.27999999999999997,""low_diagonal"":0.075,""multi_output"":0.15,""multiplier_geometry"":0.13999999999999999}",2,arithmetic_affine_or_mac,3
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,arithmetic_affine_or_mac,0.641406,"{""broad_dependency"":0.2,""carry_progression"":0.19140625,""moderate_bandwidth"":0.1875,""multi_input"":0.0625}",3,arithmetic_affine_or_mac,3
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,bit_manipulation,0.510000,"{""diagonal_or_shift"":0.1875,""locality"":0.1875,""regularity"":0.0,""sparse_or_permutation"":0.13499999999999998}",4,arithmetic_affine_or_mac,3
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,boolean_bitwise,0.462500,"{""diagonal"":0.275,""locality"":0.1875,""regularity"":0.0}",5,arithmetic_affine_or_mac,3
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,3
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,comparison,0.333333,"{""high_bit_priority"":0.13333340000000002,""high_density"":0.2,""single_output"":0.0}",7,arithmetic_affine_or_mac,3
arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,rewrite,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,3
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,arithmetic_add_sub,0.900000,"{""carry_progression"":0.36000000000000004,""lower_triangularity"":0.25,""moderate_density"":0.19,""multi_output"":0.1}",1,arithmetic_affine_or_mac,2
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,arithmetic_affine_or_mac,0.643750,"{""broad_dependency"":0.125,""carry_progression"":0.2,""moderate_bandwidth"":0.225,""multi_input"":0.09375}",2,arithmetic_affine_or_mac,2
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,bit_manipulation,0.525000,"{""diagonal_or_shift"":0.15,""locality"":0.15,""regularity"":0.0,""sparse_or_permutation"":0.22499999999999998}",3,arithmetic_affine_or_mac,2
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,arithmetic_multiply,0.469444,"{""broad_dependency"":0.175,""low_diagonal"":0.06666659999999999,""multi_output"":0.15,""multiplier_geometry"":0.07777769999999999}",4,arithmetic_affine_or_mac,2
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,boolean_bitwise,0.455556,"{""diagonal"":0.30555580000000004,""locality"":0.15,""regularity"":0.0}",5,arithmetic_affine_or_mac,2
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,control_mux,0.450000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.0}",6,arithmetic_affine_or_mac,2
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,comparison,0.213889,"{""high_bit_priority"":0.0888888,""high_density"":0.125,""single_output"":0.0}",7,arithmetic_affine_or_mac,2
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_affine_or_mac,2
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,arithmetic_add_sub,0.900000,"{""carry_progression"":0.36000000000000004,""lower_triangularity"":0.25,""moderate_density"":0.19,""multi_output"":0.1}",1,arithmetic_affine_or_mac,2
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,arithmetic_affine_or_mac,0.643750,"{""broad_dependency"":0.125,""carry_progression"":0.2,""moderate_bandwidth"":0.225,""multi_input"":0.09375}",2,arithmetic_affine_or_mac,2
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,bit_manipulation,0.525000,"{""diagonal_or_shift"":0.15,""locality"":0.15,""regularity"":0.0,""sparse_or_permutation"":0.22499999999999998}",3,arithmetic_affine_or_mac,2
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,arithmetic_multiply,0.469444,"{""broad_dependency"":0.175,""low_diagonal"":0.06666659999999999,""multi_output"":0.15,""multiplier_geometry"":0.07777769999999999}",4,arithmetic_affine_or_mac,2
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,boolean_bitwise,0.455556,"{""diagonal"":0.30555580000000004,""locality"":0.15,""regularity"":0.0}",5,arithmetic_affine_or_mac,2
