bus_hypothesis_id,region_id,inference_mode,used_ground_truth_for_generation,used_ground_truth_for_evaluation,direction,role,member_nodes,ordered_member_nodes,width,bit_order,signedness_hypothesis,grouping_score,ordering_score,role_score,evidence_sources,feature_values,ambiguity_count,ground_truth_bus_name_if_known,ground_truth_match,rank,schema_version
arithmetic_affine_w3__dc2__whole_output_cone__inf__input__a,arithmetic_affine_w3__dc2__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.850000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.5}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__dc2__whole_output_cone__inf__output__y,arithmetic_affine_w3__dc2__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.722591,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.075303}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__identity__ground_truth_region__inf__input__a,arithmetic_affine_w3__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.914286,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.714286}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__identity__ground_truth_region__inf__output__y,arithmetic_affine_w3__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.820000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.4}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__identity__whole_output_cone__inf__input__a,arithmetic_affine_w3__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.914286,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.714286}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__identity__whole_output_cone__inf__output__y,arithmetic_affine_w3__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.820000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.4}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__refactor__whole_output_cone__inf__input__a,arithmetic_affine_w3__refactor__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.842857,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.47619}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__refactor__whole_output_cone__inf__output__y,arithmetic_affine_w3__refactor__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.718115,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.060385}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__resub__whole_output_cone__inf__input__a,arithmetic_affine_w3__resub__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.853333,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.511111}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__resub__whole_output_cone__inf__output__y,arithmetic_affine_w3__resub__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.717714,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.059048}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__resyn__whole_output_cone__inf__input__a,arithmetic_affine_w3__resyn__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.847059,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.490196}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__resyn__whole_output_cone__inf__output__y,arithmetic_affine_w3__resyn__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.716865,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.056218}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__resyn2__whole_output_cone__inf__input__a,arithmetic_affine_w3__resyn2__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.850000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.5}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__resyn2__whole_output_cone__inf__output__y,arithmetic_affine_w3__resyn2__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.722591,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.075303}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__rewrite__whole_output_cone__inf__input__a,arithmetic_affine_w3__rewrite__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.847059,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.490196}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__rewrite__whole_output_cone__inf__output__y,arithmetic_affine_w3__rewrite__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.716865,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.056218}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w4__balance__whole_output_cone__inf__input__a,arithmetic_affine_w4__balance__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3""]","[""a_0"",""a_1"",""a_2"",""a_3""]",4,lsb_to_msb,unknown,0.821382,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.404608}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w4__balance__whole_output_cone__inf__output__y,arithmetic_affine_w4__balance__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6""]",7,lsb_to_msb,unknown,0.725870,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.086232}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w4__compress2rs__whole_output_cone__inf__input__a,arithmetic_affine_w4__compress2rs__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3""]","[""a_0"",""a_1"",""a_2"",""a_3""]",4,lsb_to_msb,unknown,0.851560,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.505201}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w4__compress2rs__whole_output_cone__inf__output__y,arithmetic_affine_w4__compress2rs__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6""]",7,lsb_to_msb,unknown,0.740397,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.134658}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w4__dc2__whole_output_cone__inf__input__a,arithmetic_affine_w4__dc2__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2"",""a_3""]","[""a_0"",""a_1"",""a_2"",""a_3""]",4,lsb_to_msb,unknown,0.855217,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.517391}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w4__dc2__whole_output_cone__inf__output__y,arithmetic_affine_w4__dc2__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6""]",7,lsb_to_msb,unknown,0.734521,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.115069}",0,y,exact,1,semantic_bus_hypothesis_v1
