candidate_id,region_id,simulation_filter_mode,sample_count,sample_matches,sample_mismatches,sample_match_rate,first_mismatch_pattern,mismatch_output_bits,simulation_runtime,simulation_status,simulation_evidence_level,schema_version
arithmetic_add_add_w2__identity__ground_truth_region__cand_0012,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":3,""difference"":3,""gate_output"":0,""pattern_id"":""p0000""}",3,0.000193,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0013,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":13,""difference"":13,""gate_output"":0,""pattern_id"":""p0000""}",13,0.000188,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0014,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":1,""b"":0,""c"":0},""candidate_output"":3,""difference"":2,""gate_output"":1,""pattern_id"":""p0003""}",2,0.000512,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0015,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000192,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0016,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":1,""difference"":1,""gate_output"":0,""pattern_id"":""p0000""}",1,0.000191,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0017,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":13,""difference"":4,""gate_output"":9,""pattern_id"":""p0001""}",4,0.000297,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0018,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000300,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0019,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":13,""difference"":4,""gate_output"":9,""pattern_id"":""p0001""}",4,0.000295,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0020,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000299,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0021,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000299,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0022,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":0,""difference"":9,""gate_output"":9,""pattern_id"":""p0001""}",9,0.000296,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0023,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":1,""difference"":1,""gate_output"":0,""pattern_id"":""p0000""}",1,0.000189,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0024,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000187,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0025,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":15,""difference"":6,""gate_output"":9,""pattern_id"":""p0001""}",6,0.000309,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0026,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":6,""difference"":15,""gate_output"":9,""pattern_id"":""p0001""}",15,0.000300,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0027,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":1,""difference"":8,""gate_output"":9,""pattern_id"":""p0001""}",8,0.000300,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0028,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":15,""difference"":6,""gate_output"":9,""pattern_id"":""p0001""}",6,0.000300,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0029,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":0,""difference"":9,""gate_output"":9,""pattern_id"":""p0001""}",9,0.000307,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0030,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000304,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0031,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000310,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0032,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":15,""difference"":6,""gate_output"":9,""pattern_id"":""p0001""}",6,0.000308,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0033,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":6,""difference"":15,""gate_output"":9,""pattern_id"":""p0001""}",15,0.000305,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0034,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":1,""difference"":8,""gate_output"":9,""pattern_id"":""p0001""}",8,0.000304,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0035,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000193,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0036,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000188,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0037,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000189,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0038,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000301,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0039,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000301,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0040,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":0,""difference"":9,""gate_output"":9,""pattern_id"":""p0001""}",9,0.000296,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0041,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000196,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0042,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000296,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0043,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000302,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0044,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":0,""difference"":9,""gate_output"":9,""pattern_id"":""p0001""}",9,0.000306,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0045,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000192,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0046,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000302,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0047,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000302,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0048,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":0,""difference"":9,""gate_output"":9,""pattern_id"":""p0001""}",9,0.000302,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0049,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000191,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0001,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000317,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0002,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":13,""difference"":4,""gate_output"":9,""pattern_id"":""p0001""}",4,0.000301,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0003,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000309,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0004,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000301,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0005,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":0,""difference"":9,""gate_output"":9,""pattern_id"":""p0001""}",9,0.000302,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0006,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":1,""difference"":1,""gate_output"":0,""pattern_id"":""p0000""}",1,0.000194,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0007,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000190,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0008,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000337,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0009,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":2,""difference"":2,""gate_output"":0,""pattern_id"":""p0000""}",2,0.000217,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0010,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":14,""difference"":14,""gate_output"":0,""pattern_id"":""p0000""}",14,0.000201,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0011,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":6,""difference"":15,""gate_output"":9,""pattern_id"":""p0001""}",15,0.000302,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0012,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":3,""difference"":3,""gate_output"":0,""pattern_id"":""p0000""}",3,0.000193,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0013,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":13,""difference"":13,""gate_output"":0,""pattern_id"":""p0000""}",13,0.000194,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0014,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":1,""b"":0,""c"":0},""candidate_output"":3,""difference"":2,""gate_output"":1,""pattern_id"":""p0003""}",2,0.000516,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0015,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000192,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0016,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":1,""difference"":1,""gate_output"":0,""pattern_id"":""p0000""}",1,0.000191,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0017,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":13,""difference"":4,""gate_output"":9,""pattern_id"":""p0001""}",4,0.000303,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0018,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000303,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0019,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":13,""difference"":4,""gate_output"":9,""pattern_id"":""p0001""}",4,0.000302,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0020,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000303,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0021,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000303,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0022,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":0,""difference"":9,""gate_output"":9,""pattern_id"":""p0001""}",9,0.000299,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0023,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":1,""difference"":1,""gate_output"":0,""pattern_id"":""p0000""}",1,0.000191,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0024,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000201,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0025,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":15,""difference"":6,""gate_output"":9,""pattern_id"":""p0001""}",6,0.000303,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0026,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":6,""difference"":15,""gate_output"":9,""pattern_id"":""p0001""}",15,0.000301,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__whole_output_cone__cand_0027,arithmetic_add_add_w2__identity__whole_output_cone,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":1,""difference"":8,""gate_output"":9,""pattern_id"":""p0001""}",8,0.000300,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
