candidate_id,region_id,case_id,family,operator,optimization,source_type,grammar_family,classification,proof_scope,canonical_form,rtl_text,candidate_rtl_cost,input_gate_count,reduction_rate,reduction_rate_ge_70,formal_runtime
arithmetic_constant_multiply_w3__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w3__identity__ground_truth_region,arithmetic_constant_multiply_w3,arithmetic,constant_multiply,identity,ground_truth_region,arithmetic_direct,formally_equivalent_alternative,region,"mul<5,unsigned>(5'd3,a)",(a * 5'd3),4,5,20.000000,false,0.000280
arithmetic_constant_multiply_w3__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w3__identity__whole_output_cone,arithmetic_constant_multiply_w3,arithmetic,constant_multiply,identity,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<5,unsigned>(5'd3,a)",(a * 5'd3),4,5,20.000000,false,0.000278
arithmetic_constant_multiply_w4__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w4__identity__ground_truth_region,arithmetic_constant_multiply_w4,arithmetic,constant_multiply,identity,ground_truth_region,arithmetic_direct,formally_equivalent_alternative,region,"mul<6,unsigned>(6'd3,a)",(a * 6'd3),4,6,33.333333,false,0.000817
arithmetic_constant_multiply_w4__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w4__identity__whole_output_cone,arithmetic_constant_multiply_w4,arithmetic,constant_multiply,identity,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<6,unsigned>(6'd3,a)",(a * 6'd3),4,6,33.333333,false,0.000854
arithmetic_constant_multiply_w6__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w6__identity__ground_truth_region,arithmetic_constant_multiply_w6,arithmetic,constant_multiply,identity,ground_truth_region,arithmetic_direct,formally_equivalent_alternative,region,"mul<8,unsigned>(8'd3,a)",(a * 8'd3),4,8,50.000000,false,0.013361
arithmetic_constant_multiply_w6__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w6__identity__whole_output_cone,arithmetic_constant_multiply_w6,arithmetic,constant_multiply,identity,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<8,unsigned>(8'd3,a)",(a * 8'd3),4,8,50.000000,false,0.013313
arithmetic_constant_multiply_w8__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w8__identity__ground_truth_region,arithmetic_constant_multiply_w8,arithmetic,constant_multiply,identity,ground_truth_region,arithmetic_direct,formally_equivalent_alternative,region,"mul<10,unsigned>(10'd3,a)",(a * 10'd3),4,10,60.000000,false,0.291756
arithmetic_constant_multiply_w8__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w8__identity__whole_output_cone,arithmetic_constant_multiply_w8,arithmetic,constant_multiply,identity,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<10,unsigned>(10'd3,a)",(a * 10'd3),4,10,60.000000,false,0.295901
arithmetic_reversed_sub_w2__balance__whole_output_cone__cand_0029,arithmetic_reversed_sub_w2__balance__whole_output_cone,arithmetic_reversed_sub_w2,arithmetic,reversed_sub,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,24,95.833333,true,0.001225
arithmetic_reversed_sub_w2__balance__whole_output_cone__cand_0005,arithmetic_reversed_sub_w2__balance__whole_output_cone,arithmetic_reversed_sub_w2,arithmetic,reversed_sub,balance,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,24,83.333333,true,0.000952
arithmetic_reversed_sub_w2__balance__whole_output_cone__cand_0022,arithmetic_reversed_sub_w2__balance__whole_output_cone,arithmetic_reversed_sub_w2,arithmetic,reversed_sub,balance,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,24,83.333333,true,0.000953
arithmetic_reversed_sub_w2__resub__whole_output_cone__cand_0029,arithmetic_reversed_sub_w2__resub__whole_output_cone,arithmetic_reversed_sub_w2,arithmetic,reversed_sub,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,19,94.736842,true,0.000837
arithmetic_reversed_sub_w2__resub__whole_output_cone__cand_0005,arithmetic_reversed_sub_w2__resub__whole_output_cone,arithmetic_reversed_sub_w2,arithmetic,reversed_sub,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,19,78.947368,true,0.000793
arithmetic_reversed_sub_w2__resub__whole_output_cone__cand_0022,arithmetic_reversed_sub_w2__resub__whole_output_cone,arithmetic_reversed_sub_w2,arithmetic,reversed_sub,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,19,78.947368,true,0.000787
arithmetic_signed_add_w2__balance__whole_output_cone__cand_0029,arithmetic_signed_add_w2__balance__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,25,96.000000,true,0.001001
arithmetic_signed_add_w2__balance__whole_output_cone__cand_0005,arithmetic_signed_add_w2__balance__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,balance,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,25,84.000000,true,0.000989
arithmetic_signed_add_w2__balance__whole_output_cone__cand_0022,arithmetic_signed_add_w2__balance__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,balance,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,25,84.000000,true,0.000974
arithmetic_signed_add_w2__resub__whole_output_cone__cand_0029,arithmetic_signed_add_w2__resub__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,18,94.444444,true,0.000772
arithmetic_signed_add_w2__resub__whole_output_cone__cand_0005,arithmetic_signed_add_w2__resub__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,18,77.777778,true,0.000748
arithmetic_signed_add_w2__resub__whole_output_cone__cand_0022,arithmetic_signed_add_w2__resub__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,18,77.777778,true,0.000744
arithmetic_signed_add_w2__rewrite__whole_output_cone__cand_0029,arithmetic_signed_add_w2__rewrite__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(a)",(a & 3'd0),1,14,92.857143,true,0.000630
arithmetic_signed_add_w2__rewrite__whole_output_cone__cand_0005,arithmetic_signed_add_w2__rewrite__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,rewrite,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,14,71.428571,true,0.000607
arithmetic_signed_add_w2__rewrite__whole_output_cone__cand_0022,arithmetic_signed_add_w2__rewrite__whole_output_cone,arithmetic_signed_add_w2,arithmetic,signed_add,rewrite,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,14,71.428571,true,0.000604
arithmetic_sub_w2__balance__whole_output_cone__cand_0029,arithmetic_sub_w2__balance__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,19,94.736842,true,0.000800
arithmetic_sub_w2__balance__whole_output_cone__cand_0005,arithmetic_sub_w2__balance__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,balance,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,19,78.947368,true,0.000785
arithmetic_sub_w2__balance__whole_output_cone__cand_0022,arithmetic_sub_w2__balance__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,balance,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,19,78.947368,true,0.000776
arithmetic_sub_w2__compress2rs__whole_output_cone__cand_0029,arithmetic_sub_w2__compress2rs__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,compress2rs,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(a)",(a & 3'd0),1,10,90.000000,true,0.000498
arithmetic_sub_w2__compress2rs__whole_output_cone__cand_0005,arithmetic_sub_w2__compress2rs__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,compress2rs,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,10,60.000000,false,0.000484
arithmetic_sub_w2__compress2rs__whole_output_cone__cand_0022,arithmetic_sub_w2__compress2rs__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,compress2rs,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,10,60.000000,false,0.000478
arithmetic_sub_w2__dc2__whole_output_cone__cand_0029,arithmetic_sub_w2__dc2__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,dc2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(a)",(a & 3'd0),1,11,90.909091,true,0.000527
arithmetic_sub_w2__dc2__whole_output_cone__cand_0005,arithmetic_sub_w2__dc2__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,dc2,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,11,63.636364,false,0.000533
arithmetic_sub_w2__dc2__whole_output_cone__cand_0022,arithmetic_sub_w2__dc2__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,dc2,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,11,63.636364,false,0.000538
arithmetic_sub_w2__resub__whole_output_cone__cand_0029,arithmetic_sub_w2__resub__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,15,93.333333,true,0.000668
arithmetic_sub_w2__resub__whole_output_cone__cand_0005,arithmetic_sub_w2__resub__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,15,73.333333,true,0.000644
arithmetic_sub_w2__resub__whole_output_cone__cand_0022,arithmetic_sub_w2__resub__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,15,73.333333,true,0.000644
arithmetic_sub_w2__resyn2__whole_output_cone__cand_0029,arithmetic_sub_w2__resyn2__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,resyn2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(a)",(a & 3'd0),1,11,90.909091,true,0.000534
arithmetic_sub_w2__resyn2__whole_output_cone__cand_0005,arithmetic_sub_w2__resyn2__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,resyn2,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,11,63.636364,false,0.000514
arithmetic_sub_w2__resyn2__whole_output_cone__cand_0022,arithmetic_sub_w2__resyn2__whole_output_cone,arithmetic_sub_w2,arithmetic,sub,resyn2,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,11,63.636364,false,0.000513
arithmetic_unsigned_add_w2__balance__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__balance__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,24,95.833333,true,0.000962
arithmetic_unsigned_add_w2__balance__whole_output_cone__cand_0005,arithmetic_unsigned_add_w2__balance__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,balance,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,24,83.333333,true,0.000945
arithmetic_unsigned_add_w2__balance__whole_output_cone__cand_0022,arithmetic_unsigned_add_w2__balance__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,balance,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,24,83.333333,true,0.001097
arithmetic_unsigned_add_w2__refactor__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__refactor__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,refactor,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,20,95.000000,true,0.001015
arithmetic_unsigned_add_w2__refactor__whole_output_cone__cand_0005,arithmetic_unsigned_add_w2__refactor__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,refactor,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,20,80.000000,true,0.000860
arithmetic_unsigned_add_w2__refactor__whole_output_cone__cand_0022,arithmetic_unsigned_add_w2__refactor__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,refactor,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,20,80.000000,true,0.000836
arithmetic_unsigned_add_w2__resub__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__resub__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,22,95.454545,true,0.000913
arithmetic_unsigned_add_w2__resub__whole_output_cone__cand_0005,arithmetic_unsigned_add_w2__resub__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,22,81.818182,true,0.000899
arithmetic_unsigned_add_w2__resub__whole_output_cone__cand_0022,arithmetic_unsigned_add_w2__resub__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,22,81.818182,true,0.000887
arithmetic_unsigned_add_w2__rewrite__whole_output_cone__cand_0029,arithmetic_unsigned_add_w2__rewrite__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<3,unsigned>(b)",(b & 3'd0),1,14,92.857143,true,0.000645
arithmetic_unsigned_add_w2__rewrite__whole_output_cone__cand_0005,arithmetic_unsigned_add_w2__rewrite__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,rewrite,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,b)",(b * 3'd0),4,14,71.428571,true,0.000626
arithmetic_unsigned_add_w2__rewrite__whole_output_cone__cand_0022,arithmetic_unsigned_add_w2__rewrite__whole_output_cone,arithmetic_unsigned_add_w2,arithmetic,unsigned_add,rewrite,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<3,unsigned>(3'd0,a)",(a * 3'd0),4,14,71.428571,true,0.000622
bitmanip_mask_low_w2__balance__whole_output_cone__cand_0019,bitmanip_mask_low_w2__balance__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<2,unsigned>(a)",(a & 2'd0),1,4,75.000000,true,0.000124
bitmanip_mask_low_w2__balance__whole_output_cone__cand_0005,bitmanip_mask_low_w2__balance__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,balance,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<2,unsigned>(2'd0,a)",(a * 2'd0),4,4,0.000000,false,0.000101
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0001,bitmanip_mask_low_w2__compress2rs__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,compress2rs,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"zero_extend<2,unsigned>(a)","{1'd0, a}",1,2,50.000000,false,0.000091
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0021,bitmanip_mask_low_w2__compress2rs__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,compress2rs,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<2,unsigned>(a)",(a | 2'd0),1,2,50.000000,false,0.000067
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0022,bitmanip_mask_low_w2__compress2rs__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,compress2rs,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<2,unsigned>(a)",(a ^ 2'd0),1,2,50.000000,false,0.000068
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0003,bitmanip_mask_low_w2__compress2rs__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,compress2rs,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"add<2,unsigned>(2'd0,a)",(a + 2'd0),2,2,0.000000,false,0.000065
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0004,bitmanip_mask_low_w2__compress2rs__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,compress2rs,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"sub<2,unsigned>(a,2'd0)",(a - 2'd0),2,2,0.000000,false,0.000063
bitmanip_mask_low_w2__compress2rs__whole_output_cone__cand_0008,bitmanip_mask_low_w2__compress2rs__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,compress2rs,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<2,unsigned>(2'd1,a)",(a * 2'd1),4,2,-100.000000,false,0.000059
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0001,bitmanip_mask_low_w2__dc2__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,dc2,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"zero_extend<2,unsigned>(a)","{1'd0, a}",1,2,50.000000,false,0.000075
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0021,bitmanip_mask_low_w2__dc2__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,dc2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<2,unsigned>(a)",(a | 2'd0),1,2,50.000000,false,0.000071
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0022,bitmanip_mask_low_w2__dc2__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,dc2,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<2,unsigned>(a)",(a ^ 2'd0),1,2,50.000000,false,0.000058
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0003,bitmanip_mask_low_w2__dc2__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,dc2,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"add<2,unsigned>(2'd0,a)",(a + 2'd0),2,2,0.000000,false,0.000061
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0004,bitmanip_mask_low_w2__dc2__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,dc2,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"sub<2,unsigned>(a,2'd0)",(a - 2'd0),2,2,0.000000,false,0.000057
bitmanip_mask_low_w2__dc2__whole_output_cone__cand_0008,bitmanip_mask_low_w2__dc2__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,dc2,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<2,unsigned>(2'd1,a)",(a * 2'd1),4,2,-100.000000,false,0.000056
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0001,bitmanip_mask_low_w2__refactor__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,refactor,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"zero_extend<2,unsigned>(a)","{1'd0, a}",1,2,50.000000,false,0.000076
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0021,bitmanip_mask_low_w2__refactor__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,refactor,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<2,unsigned>(a)",(a | 2'd0),1,2,50.000000,false,0.000074
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0022,bitmanip_mask_low_w2__refactor__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,refactor,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<2,unsigned>(a)",(a ^ 2'd0),1,2,50.000000,false,0.000058
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0003,bitmanip_mask_low_w2__refactor__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,refactor,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"add<2,unsigned>(2'd0,a)",(a + 2'd0),2,2,0.000000,false,0.000057
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0004,bitmanip_mask_low_w2__refactor__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,refactor,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"sub<2,unsigned>(a,2'd0)",(a - 2'd0),2,2,0.000000,false,0.000056
bitmanip_mask_low_w2__refactor__whole_output_cone__cand_0008,bitmanip_mask_low_w2__refactor__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,refactor,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<2,unsigned>(2'd1,a)",(a * 2'd1),4,2,-100.000000,false,0.000056
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0001,bitmanip_mask_low_w2__resub__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"zero_extend<2,unsigned>(a)","{1'd0, a}",1,2,50.000000,false,0.000068
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0021,bitmanip_mask_low_w2__resub__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_or<2,unsigned>(a)",(a | 2'd0),1,2,50.000000,false,0.000057
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0022,bitmanip_mask_low_w2__resub__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,resub,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_xor<2,unsigned>(a)",(a ^ 2'd0),1,2,50.000000,false,0.000056
bitmanip_mask_low_w2__resub__whole_output_cone__cand_0003,bitmanip_mask_low_w2__resub__whole_output_cone,bitmanip_mask_low_w2,bitmanip,mask_low,resub,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"add<2,unsigned>(2'd0,a)",(a + 2'd0),2,2,0.000000,false,0.000057
