adapter_id,candidate_id,benchmark,backend,linearity_status,matrix_rows,matrix_cols,rank,nullity,solution,proof_status,rejection_reason,schema_version
grow_forward_region__xplant__Ein,grow_forward_region__xplant,grow_forward_region,gf2_linear_relational_baseline,proved_affine,3,3,3,0,"{""coefficients"": [[1, 0, 0], [0, 1, 0], [0, 0, 1]], ""constant"": ""000""}",proved,,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__Eout,grow_forward_region__xplant,grow_forward_region,gf2_linear_relational_baseline,proved_affine,2,4,2,2,"{""coefficients"": [[0, 1, 1, 0], [0, 0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__Ein,affine_transplant__xplant,affine_transplant,gf2_linear_relational_baseline,proved_affine,2,2,2,0,"{""coefficients"": [[1, 0], [0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__Eout,affine_transplant__xplant,affine_transplant,gf2_linear_relational_baseline,proved_affine,3,4,3,1,"{""coefficients"": [[1, 0, 1, 0], [0, 1, 1, 0], [0, 0, 0, 1]], ""constant"": ""000""}",proved,,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__Ein,add_add_transplant__xplant,add_add_transplant,gf2_linear_relational_baseline,proved_affine,3,3,3,0,"{""coefficients"": [[1, 0, 0], [0, 1, 0], [0, 0, 1]], ""constant"": ""000""}",proved,,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__Eout,add_add_transplant__xplant,add_add_transplant,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[1, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__Ein,bilinear_transplant__xplant,bilinear_transplant,gf2_linear_relational_baseline,proved_affine,3,3,3,0,"{""coefficients"": [[1, 0, 0], [0, 1, 0], [0, 0, 1]], ""constant"": ""000""}",proved,,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__Eout,bilinear_transplant__xplant,bilinear_transplant,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[1, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__Ein,mac_transplant__xplant,mac_transplant,gf2_linear_relational_baseline,proved_affine,3,3,3,0,"{""coefficients"": [[1, 0, 0], [0, 1, 0], [0, 0, 1]], ""constant"": ""000""}",proved,,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__Eout,mac_transplant__xplant,mac_transplant,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[1, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__Ein,mux_transplant__xplant,mux_transplant,gf2_linear_relational_baseline,proved_affine,3,3,3,0,"{""coefficients"": [[1, 0, 0], [0, 1, 0], [0, 0, 1]], ""constant"": ""000""}",proved,,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__Eout,mux_transplant__xplant,mux_transplant,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[1, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__Ein,mask_constmul_transplant__xplant,mask_constmul_transplant,gf2_linear_relational_baseline,proved_affine,1,1,1,0,"{""coefficients"": [[1]], ""constant"": ""0""}",proved,,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__Eout,mask_constmul_transplant__xplant,mask_constmul_transplant,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[1, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__Ein,negative_no_input_adapter__xplant,negative_no_input_adapter,gf2_linear_relational_baseline,not_run,0,0,0,0,{},not_proven,adapter_not_available,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__Eout,negative_no_input_adapter__xplant,negative_no_input_adapter,gf2_linear_relational_baseline,proved_affine,2,2,2,0,"{""coefficients"": [[1, 0], [0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__Ein,negative_no_output_adapter__xplant,negative_no_output_adapter,gf2_linear_relational_baseline,proved_affine,1,1,1,0,"{""coefficients"": [[1]], ""constant"": ""0""}",proved,,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__Eout,negative_no_output_adapter__xplant,negative_no_output_adapter,gf2_linear_relational_baseline,not_run,0,0,0,0,{},not_proven,adapter_not_available,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__Ein,negative_target_not_influential__xplant,negative_target_not_influential,gf2_linear_relational_baseline,proved_affine,1,1,1,0,"{""coefficients"": [[1]], ""constant"": ""0""}",proved,,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__Eout,negative_target_not_influential__xplant,negative_target_not_influential,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[0, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__Ein,negative_whole_design__xplant,negative_whole_design,gf2_linear_relational_baseline,proved_affine,1,1,1,0,"{""coefficients"": [[1]], ""constant"": ""0""}",proved,,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__Eout,negative_whole_design__xplant,negative_whole_design,gf2_linear_relational_baseline,proved_affine,1,1,1,0,"{""coefficients"": [[1]], ""constant"": ""0""}",proved,,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__Ein,negative_global_cec__xplant,negative_global_cec,gf2_linear_relational_baseline,proved_affine,1,1,1,0,"{""coefficients"": [[1]], ""constant"": ""0""}",proved,,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__Eout,negative_global_cec__xplant,negative_global_cec,gf2_linear_relational_baseline,proved_affine,2,2,2,0,"{""coefficients"": [[1, 0], [0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
