attempt_id,candidate_id,benchmark,cec_scope,abc_available,cec_status,abc_output,schema_version
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,Sprime_vs_I,true,equivalent,"_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/grow_forward_region.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,S_vs_Sprime,true,equivalent,"tion/affine_transplant.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/affine_transplant.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,Sprime_vs_I,true,equivalent,"ed_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/affine_transplant.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,S_vs_Sprime,true,equivalent,"on/add_add_transplant.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/add_add_transplant.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,Sprime_vs_I,true,equivalent,"d_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/add_add_transplant.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,S_vs_Sprime,true,equivalent,"/bilinear_transplant.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/bilinear_transplant.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,Sprime_vs_I,true,equivalent,"_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/bilinear_transplant.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,S_vs_Sprime,true,equivalent,"plantation/mac_transplant.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/mac_transplant.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,Sprime_vs_I,true,equivalent,"anted_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/mac_transplant.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,S_vs_Sprime,true,equivalent,"plantation/mux_transplant.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/mux_transplant.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,Sprime_vs_I,true,equivalent,"anted_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/mux_transplant.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,S_vs_Sprime,true,equivalent,"if /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/mask_constmul_transplant.transplanted_source.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,Sprime_vs_I,true,equivalent,"ce.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/mask_constmul_transplant.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__rewrite,negative_no_input_adapter__xplant,negative_no_input_adapter,S_vs_Sprime,true,not_run,,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__rewrite,negative_no_input_adapter__xplant,negative_no_input_adapter,Sprime_vs_I,true,not_run,,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__rewrite,negative_no_output_adapter__xplant,negative_no_output_adapter,S_vs_Sprime,true,not_run,,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__rewrite,negative_no_output_adapter__xplant,negative_no_output_adapter,Sprime_vs_I,true,not_run,,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__rewrite,negative_target_not_influential__xplant,negative_target_not_influential,S_vs_Sprime,true,unknown,"OP has a mismatch between its cover size (0) and its fanin number (2). NodeCheck: SOP check for node ""xri_b0"" has failed. Io_ReadBlifMv: The network check has failed for model cross_netlist_transplant. Reading network from file has failed. ",cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__rewrite,negative_target_not_influential__xplant,negative_target_not_influential,Sprime_vs_I,true,unknown,"OP has a mismatch between its cover size (0) and its fanin number (2). NodeCheck: SOP check for node ""xri_b0"" has failed. Io_ReadBlifMv: The network check has failed for model cross_netlist_transplant. Reading network from file has failed. ",cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__rewrite,negative_whole_design__xplant,negative_whole_design,S_vs_Sprime,true,equivalent,".blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/negative_whole_design.transplanted_source.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__rewrite,negative_whole_design__xplant,negative_whole_design,Sprime_vs_I,true,equivalent,"ource.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/negative_whole_design.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__rewrite,negative_global_cec__xplant,negative_global_cec,S_vs_Sprime,true,disproved," y = 1'h1 (negative_global_cec.source), keep = 1'h0, y = 1'h0 (negative_global_cec.transplanted_source). Verification failed for at least 2 outputs:  keep y Output keep: Value in Network1 = 1. Value in Network2 = 0. Input pattern:  a=1 k=1 ",cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__rewrite,negative_global_cec__xplant,negative_global_cec,Sprime_vs_I,true,equivalent,"_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/negative_global_cec.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
