attempt_id,candidate_id,benchmark,strategy,suffix_pass,checkpoint_path,cec_status,target_counterpart_present,graph_active,usable_boundary,repairs,first_loss_reason,area_delta,depth_delta,schema_version
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/residual_output_adapter.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/residual_output_adapter.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/grow_forward_region.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/grow_forward_region.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/grow_forward_region.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/grow_forward_region.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/affine_transplant.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/affine_transplant.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/affine_transplant.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__rewrite,affine_transplant__xplant,affine_transplant,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/affine_transplant.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/add_add_transplant.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/add_add_transplant.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/add_add_transplant.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__rewrite,add_add_transplant__xplant,add_add_transplant,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/add_add_transplant.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/bilinear_transplant.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/bilinear_transplant.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/bilinear_transplant.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__rewrite,bilinear_transplant__xplant,bilinear_transplant,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/bilinear_transplant.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/mac_transplant.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/mac_transplant.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/mac_transplant.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__rewrite,mac_transplant__xplant,mac_transplant,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/mac_transplant.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/mux_transplant.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/mux_transplant.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/mux_transplant.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__rewrite,mux_transplant__xplant,mux_transplant,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/mux_transplant.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/mask_constmul_transplant.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/mask_constmul_transplant.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/mask_constmul_transplant.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__rewrite,mask_constmul_transplant__xplant,mask_constmul_transplant,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/mask_constmul_transplant.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
