target_id,source_failure_group,split,candidate_status,region_pair_status,input_adapter_status,relational_status,output_adapter_status,graph_status,source_cec_status,cross_cec_status,new_recovered_boundary,failure_stage,failure_reason,schema_version
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,no_relevant_source_consumer_window_under_bounds,heldout,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,no_relevant_source_consumer_window_under_bounds,heldout,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
controlled_and_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_and_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_and_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_and_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_and_factor__b0,no_globally_anchored_cut,heldout,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_and_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_and_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_and_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_and_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,heldout,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,heldout,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_nonmonotonic_factor__b0,no_globally_anchored_cut,heldout,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,heldout,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,heldout,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
controlled_xor_factor__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
full_adder_carry__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
full_adder_carry__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
full_adder_carry__b0,no_globally_anchored_cut,heldout,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
full_adder_carry__b0,no_globally_anchored_cut,dev,evaluated_source_blind_revisit,bounded_region_pair_unresolved,insufficient_input_interface,relational_not_found,not_run,not_rewritten,not_run,not_run,false,input_interface_sufficiency,no_globally_anchored_cut,cross_netlist_cut_transplantation_v1
