region_id,benchmark,candidate_status,implementation_nodes,input_cut,output_cut,external_fanout_edges,rank,score,rejection_reason,schema_version
real_revisit_0011__bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],11,0.000000,no_exact_observable_output_context_frontier,semantic_region_candidate_v1
real_revisit_0012__bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],12,0.000000,no_candidate_removes_bypasses_under_bounds,semantic_region_candidate_v1
real_revisit_0013__bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],13,0.000000,no_mapped_cut_leaves_for_in_place_rewrite,semantic_region_candidate_v1
real_revisit_0014__bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],14,0.000000,no_legal_equivalent_spec_fanout_edge,semantic_region_candidate_v1
real_revisit_0015__bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],15,0.000000,semantic_target_outside_relevant_frontier,semantic_region_candidate_v1
real_revisit_0016__bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],16,0.000000,extension_would_require_unbounded_region_or_whole_design,semantic_region_candidate_v1
real_revisit_0017__bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],17,0.000000,no_exact_observable_output_context_frontier,semantic_region_candidate_v1
real_revisit_0018__bitmanip_sign_extend_w8__identity__ground_truth_region,bitmanip_sign_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],18,0.000000,no_candidate_removes_bypasses_under_bounds,semantic_region_candidate_v1
real_revisit_0019__bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],19,0.000000,no_mapped_cut_leaves_for_in_place_rewrite,semantic_region_candidate_v1
real_revisit_0020__bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],20,0.000000,no_legal_equivalent_spec_fanout_edge,semantic_region_candidate_v1
real_revisit_0021__bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],21,0.000000,semantic_target_outside_relevant_frontier,semantic_region_candidate_v1
real_revisit_0022__bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],22,0.000000,extension_would_require_unbounded_region_or_whole_design,semantic_region_candidate_v1
real_revisit_0023__bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],23,0.000000,no_exact_observable_output_context_frontier,semantic_region_candidate_v1
real_revisit_0024__bitmanip_sign_extend_w8__identity__whole_output_cone,bitmanip_sign_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],24,0.000000,no_candidate_removes_bypasses_under_bounds,semantic_region_candidate_v1
real_revisit_0025__bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],25,0.000000,no_mapped_cut_leaves_for_in_place_rewrite,semantic_region_candidate_v1
real_revisit_0026__bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],26,0.000000,no_legal_equivalent_spec_fanout_edge,semantic_region_candidate_v1
real_revisit_0027__bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],27,0.000000,semantic_target_outside_relevant_frontier,semantic_region_candidate_v1
real_revisit_0028__bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],28,0.000000,extension_would_require_unbounded_region_or_whole_design,semantic_region_candidate_v1
real_revisit_0029__bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],29,0.000000,no_exact_observable_output_context_frontier,semantic_region_candidate_v1
real_revisit_0030__bitmanip_zero_extend_w6__identity__ground_truth_region,bitmanip_zero_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],30,0.000000,no_candidate_removes_bypasses_under_bounds,semantic_region_candidate_v1
real_revisit_0031__bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],31,0.000000,no_mapped_cut_leaves_for_in_place_rewrite,semantic_region_candidate_v1
real_revisit_0032__bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],32,0.000000,no_legal_equivalent_spec_fanout_edge,semantic_region_candidate_v1
real_revisit_0033__bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],33,0.000000,semantic_target_outside_relevant_frontier,semantic_region_candidate_v1
real_revisit_0034__bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],34,0.000000,extension_would_require_unbounded_region_or_whole_design,semantic_region_candidate_v1
real_revisit_0035__bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],35,0.000000,no_exact_observable_output_context_frontier,semantic_region_candidate_v1
real_revisit_0036__bitmanip_zero_extend_w6__identity__whole_output_cone,bitmanip_zero_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],36,0.000000,no_candidate_removes_bypasses_under_bounds,semantic_region_candidate_v1
real_revisit_0037__bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],37,0.000000,no_mapped_cut_leaves_for_in_place_rewrite,semantic_region_candidate_v1
real_revisit_0038__bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],38,0.000000,no_legal_equivalent_spec_fanout_edge,semantic_region_candidate_v1
real_revisit_0039__bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],39,0.000000,semantic_target_outside_relevant_frontier,semantic_region_candidate_v1
real_revisit_0040__bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],40,0.000000,extension_would_require_unbounded_region_or_whole_design,semantic_region_candidate_v1
real_revisit_0041__bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],41,0.000000,no_exact_observable_output_context_frontier,semantic_region_candidate_v1
real_revisit_0042__bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8__identity__ground_truth_region,rejected,[],[],[],[],42,0.000000,no_candidate_removes_bypasses_under_bounds,semantic_region_candidate_v1
real_revisit_0043__bitmanip_zero_extend_w8__identity__whole_output_cone,bitmanip_zero_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],43,0.000000,no_mapped_cut_leaves_for_in_place_rewrite,semantic_region_candidate_v1
real_revisit_0044__bitmanip_zero_extend_w8__identity__whole_output_cone,bitmanip_zero_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],44,0.000000,no_legal_equivalent_spec_fanout_edge,semantic_region_candidate_v1
real_revisit_0045__bitmanip_zero_extend_w8__identity__whole_output_cone,bitmanip_zero_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],45,0.000000,semantic_target_outside_relevant_frontier,semantic_region_candidate_v1
real_revisit_0046__bitmanip_zero_extend_w8__identity__whole_output_cone,bitmanip_zero_extend_w8__identity__whole_output_cone,rejected,[],[],[],[],46,0.000000,extension_would_require_unbounded_region_or_whole_design,semantic_region_candidate_v1
