candidate_id,seed_id,benchmark,optimisation,coi_name,iteration,implementation_nodes,input_cut,output_cut,external_fanout_edges,observable_outputs,inferred_input_buses,inferred_output_buses,semantic_hypothesis_id,proof_scope,proof_status,closure_status,last_counterexample,repair_history,search_cost,search_score,source_blind,fingerprint,schema_version
fresh_structural_seed_0001__j00__791a8ed1b3,fresh_structural_seed_0001,arithmetic_affine_w2,controlled,y_0,0,"[""new_n10"",""new_n9"",""y_0""]","[""a_0"",""a_1""]","[""y_0""]","[[""new_n10"",""y_1""],[""new_n9"",""y_2""]]","[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""a_1""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_affine_w2__initial,formal_region_free_cut,unproven,invalid_unaccounted_external_fanout,{},[],0,0.0,true,b9d91c723104a296,joint_region_interface_candidate_v1
fresh_structural_seed_0002__j00__f3de908ac1,fresh_structural_seed_0002,arithmetic_affine_w3,controlled,y_0,0,"[""y_0""]","[""a_0""]","[""y_0""]",[],"[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_affine_w3__initial,formal_region_free_cut,unproven,closed,{},[],0,0.95,true,130b8cdc8dc81322,joint_region_interface_candidate_v1
fresh_structural_seed_0003__j00__5192489c37,fresh_structural_seed_0003,arithmetic_affine_w4,controlled,y_0,0,"[""y_0""]","[""a_0""]","[""y_0""]",[],"[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_affine_w4__initial,formal_region_free_cut,unproven,closed,{},[],0,0.95,true,2f38acdaf1695622,joint_region_interface_candidate_v1
fresh_structural_seed_0004__j00__66502d0a06,fresh_structural_seed_0004,arithmetic_bilinear_w2,controlled,y_0,0,"[""new_n14"",""new_n15"",""new_n16"",""new_n17"",""new_n18"",""new_n19"",""new_n20"",""new_n21"",""new_n22"",""y_0""]","[""a_0"",""b_0"",""c_0"",""d_0""]","[""y_0""]","[[""new_n15"",""new_n47""],[""new_n16"",""new_n26""],[""new_n18"",""new_n269""],[""new_n21"",""new_n291""]]","[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b_0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""c_0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci3"",""ordered_member_nodes"":[""d_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_bilinear_w2__initial,formal_region_free_cut,unproven,invalid_unaccounted_external_fanout,{},[],0,0.0,true,3050d737e1d967e9,joint_region_interface_candidate_v1
fresh_structural_seed_0005__j00__8dd160a179,fresh_structural_seed_0005,arithmetic_constant_multiply_w2,controlled,y_0,0,"[""new_n7"",""y_0"",""y_3""]","[""a_0"",""a_1""]","[""y_0""]","[[""new_n7"",""y_1""]]","[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""a_1""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_constant_multiply_w2__initial,formal_region_free_cut,unproven,invalid_unaccounted_external_fanout,{},[],0,0.0,true,b125f11ee60fd1d2,joint_region_interface_candidate_v1
fresh_structural_seed_0006__j00__8ceef3cf8f,fresh_structural_seed_0006,arithmetic_constant_multiply_w3,controlled,y_0,0,"[""y_0""]","[""a_0""]","[""y_0""]",[],"[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_constant_multiply_w3__initial,formal_region_free_cut,unproven,closed,{},[],0,0.95,true,33b97784a1095dc3,joint_region_interface_candidate_v1
fresh_structural_seed_0007__j00__9b41eccf5e,fresh_structural_seed_0007,arithmetic_constant_multiply_w4,controlled,y_0,0,"[""y_0""]","[""a_0""]","[""y_0""]",[],"[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_constant_multiply_w4__initial,formal_region_free_cut,unproven,closed,{},[],0,0.95,true,3a4e4a4e06563c2f,joint_region_interface_candidate_v1
fresh_structural_seed_0008__j00__89d55c295f,fresh_structural_seed_0008,arithmetic_constant_multiply_w6,controlled,y_0,0,"[""y_0""]","[""a_0""]","[""y_0""]",[],"[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_constant_multiply_w6__initial,formal_region_free_cut,unproven,closed,{},[],0,0.95,true,cda5bc40387be8c3,joint_region_interface_candidate_v1
fresh_structural_seed_0009__j00__26cff98e5c,fresh_structural_seed_0009,arithmetic_constant_multiply_w8,controlled,y_0,0,"[""y_0""]","[""a_0""]","[""y_0""]",[],"[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_constant_multiply_w8__initial,formal_region_free_cut,unproven,closed,{},[],0,0.95,true,41b8b61195578e50,joint_region_interface_candidate_v1
fresh_structural_seed_0010__j00__150ae95307,fresh_structural_seed_0010,arithmetic_full_multiply_w2,controlled,y_0,0,"[""y_0""]","[""a_0"",""b_0""]","[""y_0""]","[[""y_0"",""y_3""]]","[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_full_multiply_w2__initial,formal_region_free_cut,unproven,closed,{},[],0,0.9199999999999999,true,c532aa1a97edce74,joint_region_interface_candidate_v1
fresh_structural_seed_0011__j00__dc06450fbc,fresh_structural_seed_0011,arithmetic_full_multiply_w3,controlled,y_0,0,"[""y_0""]","[""a_0"",""b_0""]","[""y_0""]",[],"[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_full_multiply_w3__initial,formal_region_free_cut,unproven,closed,{},[],0,0.9199999999999999,true,f1eddd605491d37b,joint_region_interface_candidate_v1
fresh_structural_seed_0012__j00__ac71ed2686,fresh_structural_seed_0012,arithmetic_full_multiply_w4,controlled,y_0,0,"[""y_0""]","[""a_0"",""b_0""]","[""y_0""]","[[""y_0"",""new_n328""],[""y_0"",""new_n333""],[""y_0"",""new_n348""],[""y_0"",""new_n352""]]","[""y_0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a_0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b_0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y_0""],""role"":""cut_output"",""signed"":false,""width"":1}]",arithmetic_full_multiply_w4__initial,formal_region_free_cut,unproven,closed,{},[],0,0.9199999999999999,true,77ce31714e8081d0,joint_region_interface_candidate_v1
