benchmark,boundary_inputs,boundary_outputs,coi_internal_nodes,coi_name,failure_reason,generated_coi_valid,interpretation,optimization,recovery_attempted,recovery_success,segment_size,unresolved_path_nodes_enclosed
external_iscas85_c2670,,,new_n396;new_n269;new_n272;new_n273;new_n792;new_n794;new_n796;new_n853,critical_path_segment_8,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",resub,False,False,8,0
external_iscas85_c2670,,,new_n308;new_n318;new_n755,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",resyn,False,False,3,0
external_iscas85_c2670,,,new_n308;new_n318;new_n755;new_n757;new_n757,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",resyn,False,False,5,0
external_iscas85_c2670,,,new_n268;new_n269;new_n272,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",rewrite,False,False,3,0
external_iscas85_c2670,,,new_n268;new_n269;new_n272;new_n273;new_n792,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",rewrite,False,False,5,0
external_iscas85_c2670,,,new_n268;new_n269;new_n272;new_n273;new_n792;new_n796;new_n853;new_n855,critical_path_segment_8,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",rewrite,False,False,8,0
external_iscas85_c2670,,,new_n268;new_n269;new_n272,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",rewrite_z,False,False,3,0
external_iscas85_c2670,,,new_n268;new_n269;new_n272;new_n273;new_n792,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",rewrite_z,False,False,5,0
external_iscas85_c2670,,,new_n268;new_n269;new_n272;new_n273;new_n792;new_n796;new_n856;new_n883,critical_path_segment_8,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",rewrite_z,False,False,8,0
external_iscas85_c432,,,new_n46;new_n61;new_n73,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",balance,False,False,3,0
external_iscas85_c432,,,new_n46;new_n61;new_n73;new_n75;new_n114,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",balance,False,False,5,0
external_iscas85_c432,,,new_n46;new_n61;new_n73;new_n75;new_n114;new_n128;new_n131;new_n176,critical_path_segment_8,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",balance,False,False,8,0
external_iscas85_c432,,,new_n51;new_n53;new_n61,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",compress2rs,False,False,3,0
external_iscas85_c432,,,new_n51;new_n53;new_n61;new_n187;new_n65,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",compress2rs,False,False,5,0
external_iscas85_c432,,,new_n51;new_n53;new_n61;new_n187;new_n65;new_n114;new_n223;new_n176,critical_path_segment_8,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",compress2rs,False,False,8,0
external_iscas85_c432,,,new_n48;new_n61;new_n223,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",dc2,False,False,3,0
external_iscas85_c432,,,new_n48;new_n61;new_n223;new_n114;new_n199,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",dc2,False,False,5,0
external_iscas85_c432,,,new_n51;new_n53;new_n54,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",refactor,False,False,3,0
external_iscas85_c432,,,new_n51;new_n53;new_n54;new_n55;new_n56,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",refactor,False,False,5,0
external_iscas85_c432,,,new_n51;new_n53;new_n54;new_n55;new_n56;new_n57;new_n58;new_n59,critical_path_segment_8,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",refactor,False,False,8,0
external_iscas85_c432,,,new_n45;new_n61;new_n67,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",refactor_z,False,False,3,0
external_iscas85_c432,,,new_n45;new_n61;new_n67;new_n70;new_n155,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",refactor_z,False,False,5,0
external_iscas85_c432,,,new_n45;new_n61;new_n67;new_n70;new_n155;new_n176;new_n193;new_n193,critical_path_segment_8,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",refactor_z,False,False,8,0
external_iscas85_c432,,,new_n51;new_n53;new_n54,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",resub,False,False,3,0
external_iscas85_c432,,,new_n51;new_n53;new_n54;new_n55;new_n56,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",resub,False,False,5,0
