target_instance_id,target_id,optimized_target_node,anchor_expression,minimal_support,rewrite_support,rewrite_support_status,rewrite_artifact,rewrite_emitted,graph_active,source_vs_rewrite_cec,rewrite_vs_optimized_cec,global_cec_status,objective_status,blocker,schema_version
2c656574a02c420c,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,new_n24,"truth_table(d5,s0)","[""d5"", ""s0""]","[""d5"", ""s0"", ""d0""]",constructive_expanded_support,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/2c656574a02c420c.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
6767fd4457763d9e,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,new_n27,"not(or(d0,s0))","[""d0"", ""s0""]","[""d0"", ""s0"", ""d1""]",constructive_expanded_support,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/6767fd4457763d9e.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
ddd00e4932679977,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,new_n28,"truth_table(d4,s0)","[""d4"", ""s0""]","[""d4"", ""s0"", ""d0""]",constructive_expanded_support,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/ddd00e4932679977.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
ae0235b4ef6dd744,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,new_n15,"truth_table(d7,s0,s2)","[""d7"", ""s0"", ""s2""]","[""d7"", ""s0"", ""s2""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/ae0235b4ef6dd744.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
542bb97f92771578,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,new_n19,"truth_table(d2,d6,s0)","[""d2"", ""d6"", ""s0""]","[""d2"", ""d6"", ""s0""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/542bb97f92771578.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
dae7c82d4d60de5f,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,new_n29,"truth_table(d0,d4,s0)","[""d0"", ""d4"", ""s0""]","[""d0"", ""d4"", ""s0""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/dae7c82d4d60de5f.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
5427f804e1c327e1,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,new_n15,"truth_table(d4,s1,s2)","[""d4"", ""s1"", ""s2""]","[""d4"", ""s1"", ""s2""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/5427f804e1c327e1.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
ef8761793d51ce9f,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,new_n19,"truth_table(d6,s1,s2)","[""d6"", ""s1"", ""s2""]","[""d6"", ""s1"", ""s2""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/ef8761793d51ce9f.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
9c59f83c92c242ec,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,new_n29,"truth_table(d2,s1,s2)","[""d2"", ""s1"", ""s2""]","[""d2"", ""s1"", ""s2""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/9c59f83c92c242ec.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
6bdce3820ff3889f,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,new_n20,"truth_table(d6,d7,s1,s2)","[""d6"", ""d7"", ""s1"", ""s2""]","[""d6"", ""d7"", ""s1"", ""s2""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/6bdce3820ff3889f.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
4c33dedaa47329cb,controlled_and_factor__b0,pcva_4c33dedaa47329cb,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/4c33dedaa47329cb.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
ac8c960f769cf44f,controlled_and_factor__b0,pcva_ac8c960f769cf44f,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/ac8c960f769cf44f.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
7c536566403ac7a6,controlled_and_factor__b0,pcva_7c536566403ac7a6,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/7c536566403ac7a6.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
7f693f960b826383,controlled_and_factor__b0,pcva_7f693f960b826383,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/7f693f960b826383.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
f746c0dba7f858f4,controlled_and_factor__b0,pcva_f746c0dba7f858f4,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/f746c0dba7f858f4.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
236223c12059e0be,controlled_and_factor__b0,pcva_236223c12059e0be,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/236223c12059e0be.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
6d9f45f91fa81ec2,controlled_and_factor__b0,pcva_6d9f45f91fa81ec2,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/6d9f45f91fa81ec2.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
bcbe9070a681b6f5,controlled_and_factor__b0,pcva_bcbe9070a681b6f5,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/bcbe9070a681b6f5.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
7c0b8d5ac3fccb5e,controlled_and_factor__b0,pcva_7c0b8d5ac3fccb5e,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/7c0b8d5ac3fccb5e.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
764b2db5fb82b554,controlled_nonmonotonic_factor__b0,pcva_764b2db5fb82b554,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/764b2db5fb82b554.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
afe7d8fcdf319dc1,controlled_nonmonotonic_factor__b0,pcva_afe7d8fcdf319dc1,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/afe7d8fcdf319dc1.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
49660906351ef5c0,controlled_nonmonotonic_factor__b0,pcva_49660906351ef5c0,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/49660906351ef5c0.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
e3234839e48beddb,controlled_nonmonotonic_factor__b0,pcva_e3234839e48beddb,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/e3234839e48beddb.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
591895c4925b236c,controlled_nonmonotonic_factor__b0,pcva_591895c4925b236c,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/591895c4925b236c.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
37a116ba534fd473,controlled_nonmonotonic_factor__b0,pcva_37a116ba534fd473,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/37a116ba534fd473.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
849dca8d4a095b0a,controlled_nonmonotonic_factor__b0,pcva_849dca8d4a095b0a,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/849dca8d4a095b0a.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
7d1ff3b7b6bc1b29,controlled_nonmonotonic_factor__b0,pcva_7d1ff3b7b6bc1b29,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/7d1ff3b7b6bc1b29.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
63dc1cb4c01f3891,controlled_nonmonotonic_factor__b0,pcva_63dc1cb4c01f3891,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/63dc1cb4c01f3891.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
47e903ce950b36a6,controlled_nonmonotonic_factor__b0,pcva_47e903ce950b36a6,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/47e903ce950b36a6.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
b2c8341eef9130eb,controlled_nonmonotonic_factor__b0,pcva_b2c8341eef9130eb,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/b2c8341eef9130eb.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
3b0856d92d1c637f,controlled_xor_factor__b0,pcva_3b0856d92d1c637f,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/3b0856d92d1c637f.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
33a1c7c69eeb3175,controlled_xor_factor__b0,pcva_33a1c7c69eeb3175,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/33a1c7c69eeb3175.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
acf0a5d96074d14b,controlled_xor_factor__b0,pcva_acf0a5d96074d14b,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/acf0a5d96074d14b.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
680f668c3603558d,controlled_xor_factor__b0,pcva_680f668c3603558d,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/680f668c3603558d.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
3d85bc1ab67f8580,controlled_xor_factor__b0,pcva_3d85bc1ab67f8580,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/3d85bc1ab67f8580.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
75424af82404f5a5,controlled_xor_factor__b0,pcva_75424af82404f5a5,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/75424af82404f5a5.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
d49514ad6adfa9a4,controlled_xor_factor__b0,pcva_d49514ad6adfa9a4,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/d49514ad6adfa9a4.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
48e9ac460200ed9e,controlled_xor_factor__b0,pcva_48e9ac460200ed9e,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/48e9ac460200ed9e.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
c737e7c5b735c4c6,controlled_xor_factor__b0,pcva_c737e7c5b735c4c6,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/c737e7c5b735c4c6.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
933d565467516c6c,controlled_xor_factor__b0,pcva_933d565467516c6c,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/933d565467516c6c.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
1899c2c610ef5064,controlled_xor_factor__b0,pcva_1899c2c610ef5064,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/1899c2c610ef5064.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
e78380a04cbbb599,controlled_xor_factor__b0,pcva_e78380a04cbbb599,m0,"[""x0"", ""x1""]","[""x0"", ""x1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/e78380a04cbbb599.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
c30982c90c06c27a,full_adder_carry__b0,pcva_c30982c90c06c27a,cout,"[""a"", ""b"", ""cin""]","[""a"", ""b"", ""cin""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/c30982c90c06c27a.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
0588ff53852ded11,full_adder_carry__b0,pcva_0588ff53852ded11,cout,"[""a"", ""b"", ""cin""]","[""a"", ""b"", ""cin""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/0588ff53852ded11.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
74419b8b170e9506,full_adder_carry__b0,pcva_74419b8b170e9506,cout,"[""a"", ""b"", ""cin""]","[""a"", ""b"", ""cin""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/74419b8b170e9506.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
0360555a3cd9b69a,full_adder_carry__b0,pcva_0360555a3cd9b69a,cout,"[""a"", ""b"", ""cin""]","[""a"", ""b"", ""cin""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/0360555a3cd9b69a.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
