stable_target_id,compact_interface,tested_interface,proved_lower_bound,best_upper_bound,rewrite_emitted,graph_active,rewrite_artifact,source_vs_rewrite_cec,rewrite_vs_optimized_cec,new_boundary,global_cec_status,promotion,blocker,schema_version
48c5e5788e430a6d,false,"[""d2"", ""d6""]",2,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
59c67c797ca6b886,true,"[""a0"", ""a1"", ""b0"", ""b1"", ""cin""]",5,5,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/59c67c797ca6b886.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
5d9170f310054caa,true,"[""d0"", ""d1"", ""s0"", ""s1""]",4,4,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/5d9170f310054caa.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
6257dd9a982e4598,true,"[""a3"", ""b3""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/6257dd9a982e4598.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
6b8716255ebdb208,false,"[""d2"", ""d3""]",2,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
6eb93e4570dc5846,true,"[""d0"", ""d1"", ""s0"", ""s1""]",4,4,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/6eb93e4570dc5846.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
8035e9f4b2922f75,false,"[""d0"", ""d4"", ""s0""]",3,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
804d74cc95b24886,true,"[""d2"", ""d3"", ""s0"", ""s1""]",4,4,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/804d74cc95b24886.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
8260b9f1b6160cfc,true,"[""d1"", ""s1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/8260b9f1b6160cfc.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
868c3cfdf581d7c0,false,"[""d0"", ""d4"", ""s0""]",3,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
8ff86a5a4c26ac90,true,"[""a0"", ""a1"", ""b0"", ""b1"", ""cin""]",5,5,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/8ff86a5a4c26ac90.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
9595683b7ec9ce2c,true,"[""a1"", ""b1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/9595683b7ec9ce2c.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
9d0cf8cf978db7ad,true,"[""d2"", ""s1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/9d0cf8cf978db7ad.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
a51006c0de3b87e1,false,[],7,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,input_lower_bound_above_previous_bound,evidence_advancement_v1
aeb284d48148cacc,true,"[""d0"", ""s2""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/aeb284d48148cacc.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
b9432edb6c824047,true,"[""d2"", ""s0"", ""s1""]",3,3,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/b9432edb6c824047.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
ba728e449636e70a,true,"[""a3"", ""b3""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/ba728e449636e70a.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
bb8c4b2107d20992,false,"[""d3"", ""d4""]",2,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
bbcae55a2b79726f,true,"[""d3"", ""s1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/bbcae55a2b79726f.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
bcb02d2e7c2609d7,true,"[""a0"", ""b0"", ""cin""]",3,3,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/bcb02d2e7c2609d7.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
c2cb051c4a341743,true,"[""d2"", ""d3"", ""s1""]",3,3,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/c2cb051c4a341743.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
c4430c12331356b6,true,"[""a0"", ""b0"", ""cin""]",3,3,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/c4430c12331356b6.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
cb6fbab9c5809dc1,false,"[""d3"", ""d4""]",2,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
cde9e114d4be7283,false,"[""d0"", ""d3"", ""s1""]",3,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
d049016af490d397,false,[],7,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,input_lower_bound_above_previous_bound,evidence_advancement_v1
d0acdf86fe225ffe,false,"[""d2"", ""d6""]",2,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
d799cb02c31d9356,true,"[""d0"", ""s1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/d799cb02c31d9356.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
dc9a0374e99bffb0,true,"[""d2"", ""s1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/dc9a0374e99bffb0.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
dfdb5218b3fce6d7,true,"[""a0"", ""a1"", ""b0"", ""b1"", ""cin""]",5,5,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/dfdb5218b3fce6d7.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
e542ef81b25bbdce,true,"[""d2"", ""d3"", ""s0"", ""s1""]",4,4,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/e542ef81b25bbdce.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
e5abd6629f420240,true,"[""a0"", ""a1"", ""b0"", ""b1"", ""cin""]",5,5,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/e5abd6629f420240.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
e7130cbc12573d52,false,"[""d3"", ""d4""]",2,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
e97620e6c2babf13,true,"[""d0"", ""s1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/e97620e6c2babf13.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
eeb098e77b210ec9,false,"[""d0"", ""d4"", ""s0""]",3,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
f0b703ccb6f1d95d,true,"[""a0"", ""b0"", ""cin""]",3,3,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/f0b703ccb6f1d95d.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
f114ebc2ccc5f399,false,"[""d0"", ""d4"", ""s1""]",3,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
f3ddd1b38dc650de,true,"[""a3"", ""b3""]",2,2,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/f3ddd1b38dc650de.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
f88000aa6cd5b126,false,"[""d0"", ""d1"", ""d2"", ""s0""]",4,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
