target_id,candidate_source_window,expression_language,expression,selection_features,semantic_counterpart_status,rewrite_artifact,rewrite_emitted,graph_active,global_cec_status,promotion,blocker,source_blind,leakage_audit,source_vs_rewrite_cec,rewrite_vs_optimized_cec,schema_version
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,[],bounded_source_expression,,"{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""target_truth_table_hash"": ""341622e9939b4375""}",proved_additive_counterpart,,false,false,not_claimed,not_promoted,no_source_window_expression_under_bound,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,"[""d0"", ""s0""]",nor,"nor(d0,s0)","{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d0"", ""s0""], ""selected_window_width"": 2, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""a337d1be4e85b447""}",proved_additive_counterpart,,false,false,not_claimed,not_promoted,identical_driver,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,[],bounded_source_expression,,"{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""target_truth_table_hash"": ""fc08d13bfc89c612""}",proved_additive_counterpart,,false,false,not_claimed,not_promoted,no_source_window_expression_under_bound,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,"[""s0"", ""new_n14"", ""s2""]",mux,"mux(s0,new_n14,s2)","{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d7"", ""s0"", ""s2""], ""selected_window_width"": 3, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""9b689b82f6972c40""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/ae0235b4ef6dd744.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,"[""s0"", ""d6"", ""d2""]",mux,"mux(s0,d6,d2)","{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d2"", ""d6"", ""s0""], ""selected_window_width"": 3, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""3601f7a8a88ce309""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/542bb97f92771578.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,"[""s0"", ""d4"", ""d0""]",mux,"mux(s0,d4,d0)","{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d0"", ""d4"", ""s0""], ""selected_window_width"": 3, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""a025bf4defd7bd8d""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/dae7c82d4d60de5f.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,"[""s1"", ""new_n16""]",nor,"nor(s1,new_n16)","{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d4"", ""s1"", ""s2""], ""selected_window_width"": 2, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""d89079560b70eaad""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/5427f804e1c327e1.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,"[""new_n13"", ""s2"", ""s1""]",mux,"mux(new_n13,s2,s1)","{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d6"", ""s1"", ""s2""], ""selected_window_width"": 3, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""06c52a196159b8b2""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/ef8761793d51ce9f.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,"[""new_n22"", ""s2"", ""s1""]",mux,"mux(new_n22,s2,s1)","{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d2"", ""s1"", ""s2""], ""selected_window_width"": 3, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""41d4ef2258dab484""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/9c59f83c92c242ec.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,"[""s1"", ""new_n15""]",and,"and(s1,new_n15)","{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d6"", ""d7"", ""s1"", ""s2""], ""selected_window_width"": 2, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""807915ff493bc0b5""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/6bdce3820ff3889f.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
controlled_and_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_and_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_and_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_and_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_and_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_and_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_and_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_and_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_and_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
full_adder_carry__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
full_adder_carry__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
full_adder_carry__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
full_adder_carry__b0,[],,,{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
