target_id,candidate_source_window,selection_features,semantic_counterpart_status,rewrite_artifact,rewrite_emitted,graph_active,global_cec_status,promotion,blocker,source_blind,source_vs_rewrite_cec,rewrite_vs_optimized_cec,schema_version
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_nonmonotonic_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
controlled_xor_factor__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
full_adder_carry__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
full_adder_carry__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
full_adder_carry__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
full_adder_carry__b0,[],{},not_proved,,false,false,not_claimed,not_attempted,no_globally_anchored_cut,true,not_run,not_run,evidence_advancement_v1
