candidate_id,region_id,template_family,symbolic_parameters,parameter_domains,width_constraints,signedness_constraints,expression_depth,search_cost,canonical_form,rtl_text,inference_evidence,generated_without_ground_truth,expression_json,schema_version
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0013,arithmetic_add_add_w2__identity__ground_truth_region,constant_multiply,"[""alpha""]","{""alpha"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,1,3,"mul<4,unsigned>(4'd6,input1)",(input1 * 4'd6),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":6,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0014,arithmetic_add_add_w2__identity__ground_truth_region,affine_unary,"[""alpha"",""beta""]","{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,2,5,"add<4,unsigned>(4'd6,mul<4,unsigned>(4'd6,input1))",((input1 * 4'd6) + 4'd6),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":6,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":6,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""add"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0015,arithmetic_add_add_w2__identity__ground_truth_region,constant_multiply,"[""alpha""]","{""alpha"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,1,3,"mul<4,unsigned>(4'd7,input1)",(input1 * 4'd7),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":7,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0016,arithmetic_add_add_w2__identity__ground_truth_region,affine_unary,"[""alpha"",""beta""]","{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,2,5,"add<4,unsigned>(4'd7,mul<4,unsigned>(4'd7,input1))",((input1 * 4'd7) + 4'd7),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":7,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":7,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""add"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0017,arithmetic_add_add_w2__identity__ground_truth_region,constant_multiply,"[""alpha""]","{""alpha"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,1,3,"mul<4,unsigned>(4'd8,input1)",(input1 * 4'd8),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":8,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0018,arithmetic_add_add_w2__identity__ground_truth_region,affine_unary,"[""alpha"",""beta""]","{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,2,5,"add<4,unsigned>(4'd8,mul<4,unsigned>(4'd8,input1))",((input1 * 4'd8) + 4'd8),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":8,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":8,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""add"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0019,arithmetic_add_add_w2__identity__ground_truth_region,constant_multiply,"[""alpha""]","{""alpha"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,1,3,"mul<4,unsigned>(4'd9,input1)",(input1 * 4'd9),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":9,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0020,arithmetic_add_add_w2__identity__ground_truth_region,affine_unary,"[""alpha"",""beta""]","{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,2,5,"add<4,unsigned>(4'd9,mul<4,unsigned>(4'd9,input1))",((input1 * 4'd9) + 4'd9),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":9,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":9,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""add"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0021,arithmetic_add_add_w2__identity__ground_truth_region,constant_multiply,"[""alpha""]","{""alpha"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,1,3,"mul<4,unsigned>(4'd10,input1)",(input1 * 4'd10),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":10,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0022,arithmetic_add_add_w2__identity__ground_truth_region,affine_unary,"[""alpha"",""beta""]","{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,2,5,"add<4,unsigned>(4'd10,mul<4,unsigned>(4'd10,input1))",((input1 * 4'd10) + 4'd10),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":10,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":10,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""add"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0023,arithmetic_add_add_w2__identity__ground_truth_region,constant_multiply,"[""alpha""]","{""alpha"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,1,3,"mul<4,unsigned>(4'd11,input1)",(input1 * 4'd11),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":11,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0024,arithmetic_add_add_w2__identity__ground_truth_region,affine_unary,"[""alpha"",""beta""]","{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,2,5,"add<4,unsigned>(4'd11,mul<4,unsigned>(4'd11,input1))",((input1 * 4'd11) + 4'd11),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":11,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":11,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""add"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0025,arithmetic_add_add_w2__identity__ground_truth_region,constant_multiply,"[""alpha""]","{""alpha"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,1,3,"mul<4,unsigned>(4'd12,input1)",(input1 * 4'd12),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":12,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
arithmetic_add_add_w2__identity__ground_truth_region__blind_cegis__0026,arithmetic_add_add_w2__identity__ground_truth_region,affine_unary,"[""alpha"",""beta""]","{""alpha"":""bounded_enumeration"",""beta"":""bounded_enumeration""}",output_width=4,signedness_hole=unknown,2,5,"add<4,unsigned>(4'd12,mul<4,unsigned>(4'd12,input1))",((input1 * 4'd12) + 4'd12),"[""template_enumeration"",""sampled_examples"",""formal_counterexamples""]",true,"{""args"":[{""args"":[{""args"":[],""c"":null,""e"":""none"",""n"":""input1"",""op"":""input"",""s"":[],""t"":[""bitvector"",6,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":12,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""mul"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""},{""args"":[],""c"":12,""e"":""none"",""n"":"""",""op"":""const"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}],""c"":null,""e"":""none"",""n"":"""",""op"":""add"",""s"":[],""t"":[""bitvector"",4,false],""tr"":""explicit_low_bits""}",blind_semantic_cegis_v1
