analysis_target_id,target_id,repair_action,repair_status,rerun_status,notes,schema_version
real_0037,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0038,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0039,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0040,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0041,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0042,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0043,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0044,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0045,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0046,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0047,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0048,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0049,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0050,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0051,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0052,controlled_xor_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0053,full_adder_carry__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0054,full_adder_carry__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0055,full_adder_carry__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0056,full_adder_carry__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
