counterexample_id,target_id,universe_id,assignment_a_path,assignment_b_path,target_a,target_b,difference_set,difference_set_hash,counterexample_reproduced,schema_version
656f7e27f613d5ca_cex,real_0007,real_0007::U0_direct_name_intersection,counterexamples/656f7e27f613d5ca_cex.a.json,counterexamples/656f7e27f613d5ca_cex.b.json,[0],[1],"[""d2"", ""s1""]",63086ec1de4159f6,true,formal_locality_barriers_v1
83edd8c72272f4bb_cex,real_0007,real_0007::U0_direct_name_intersection,counterexamples/83edd8c72272f4bb_cex.a.json,counterexamples/83edd8c72272f4bb_cex.b.json,[0],[1],"[""s1""]",90afadf3c4de0eae,true,formal_locality_barriers_v1
b78a139f00eaceda_cex,real_0008,real_0008::U0_direct_name_intersection,counterexamples/b78a139f00eaceda_cex.a.json,counterexamples/b78a139f00eaceda_cex.b.json,[0],[1],"[""d1"", ""s1""]",584e3c996d6d3d5b,true,formal_locality_barriers_v1
a37d080a54054fb3_cex,real_0008,real_0008::U0_direct_name_intersection,counterexamples/a37d080a54054fb3_cex.a.json,counterexamples/a37d080a54054fb3_cex.b.json,[0],[1],"[""s1""]",90afadf3c4de0eae,true,formal_locality_barriers_v1
bb6268af982d778f_cex,real_0008,real_0008::U0_direct_name_intersection,counterexamples/bb6268af982d778f_cex.a.json,counterexamples/bb6268af982d778f_cex.b.json,[1],[0],"[""d1"", ""new_n12""]",0666431366a04b17,true,formal_locality_barriers_v1
58d0471ad14202f9_cex,real_0009,real_0009::U0_direct_name_intersection,counterexamples/58d0471ad14202f9_cex.a.json,counterexamples/58d0471ad14202f9_cex.b.json,[1],[0],"[""d2""]",4157ff962f7acb9d,true,formal_locality_barriers_v1
1e335ecaef09a4b0_cex,real_0009,real_0009::U0_direct_name_intersection,counterexamples/1e335ecaef09a4b0_cex.a.json,counterexamples/1e335ecaef09a4b0_cex.b.json,[1],[0],"[""s1""]",90afadf3c4de0eae,true,formal_locality_barriers_v1
ff4787d61f94879e_cex,real_0010,real_0010::U0_direct_name_intersection,counterexamples/ff4787d61f94879e_cex.a.json,counterexamples/ff4787d61f94879e_cex.b.json,[0],[1],"[""d6"", ""new_n18"", ""s0""]",aa63c8275d1bb7d0,true,formal_locality_barriers_v1
35f1a5a93748cde3_cex,real_0010,real_0010::U0_direct_name_intersection,counterexamples/35f1a5a93748cde3_cex.a.json,counterexamples/35f1a5a93748cde3_cex.b.json,[0],[1],"[""new_n18"", ""s0""]",d995e00b095e3689,true,formal_locality_barriers_v1
7f13bbee565e8b64_cex,real_0010,real_0010::U0_direct_name_intersection,counterexamples/7f13bbee565e8b64_cex.a.json,counterexamples/7f13bbee565e8b64_cex.b.json,[0],[1],"[""d6"", ""s0""]",3cbf49edcf6c0c9a,true,formal_locality_barriers_v1
fa71b93739768d15_cex,real_0010,real_0010::U0_direct_name_intersection,counterexamples/fa71b93739768d15_cex.a.json,counterexamples/fa71b93739768d15_cex.b.json,[1],[0],"[""d6"", ""new_n18""]",d6c66fdffb50bd52,true,formal_locality_barriers_v1
9f53a7042d751f4c_cex,real_0010,real_0010::U0_direct_name_intersection,counterexamples/9f53a7042d751f4c_cex.a.json,counterexamples/9f53a7042d751f4c_cex.b.json,[0],[1],"[""s0""]",c8106d0f8954433e,true,formal_locality_barriers_v1
e3dbc52c786e9dab_cex,real_0011,real_0011::U0_direct_name_intersection,counterexamples/e3dbc52c786e9dab_cex.a.json,counterexamples/e3dbc52c786e9dab_cex.b.json,[0],[1],"[""d5"", ""new_n24"", ""s0""]",5cc66851244aa6c0,true,formal_locality_barriers_v1
94eef836f86bbeb3_cex,real_0011,real_0011::U0_direct_name_intersection,counterexamples/94eef836f86bbeb3_cex.a.json,counterexamples/94eef836f86bbeb3_cex.b.json,[0],[1],"[""new_n24"", ""s0""]",b41bbd7b4aa77e4d,true,formal_locality_barriers_v1
66ca49ae0880f335_cex,real_0011,real_0011::U0_direct_name_intersection,counterexamples/66ca49ae0880f335_cex.a.json,counterexamples/66ca49ae0880f335_cex.b.json,[0],[1],"[""d5"", ""s0""]",3ff75295ac8d694e,true,formal_locality_barriers_v1
02f85a60034155a9_cex,real_0011,real_0011::U0_direct_name_intersection,counterexamples/02f85a60034155a9_cex.a.json,counterexamples/02f85a60034155a9_cex.b.json,[1],[0],"[""d5"", ""new_n24""]",78a859d22710676a,true,formal_locality_barriers_v1
8ea82415df748700_cex,real_0011,real_0011::U0_direct_name_intersection,counterexamples/8ea82415df748700_cex.a.json,counterexamples/8ea82415df748700_cex.b.json,[0],[1],"[""s0""]",c8106d0f8954433e,true,formal_locality_barriers_v1
c136fd2be1fdb1ab_cex,real_0012,real_0012::U0_direct_name_intersection,counterexamples/c136fd2be1fdb1ab_cex.a.json,counterexamples/c136fd2be1fdb1ab_cex.b.json,[1],[0],"[""d0"", ""new_n27""]",a7143bd50b0658b1,true,formal_locality_barriers_v1
5899de870afdcbb2_cex,real_0012,real_0012::U0_direct_name_intersection,counterexamples/5899de870afdcbb2_cex.a.json,counterexamples/5899de870afdcbb2_cex.b.json,[1],[0],"[""s0""]",c8106d0f8954433e,true,formal_locality_barriers_v1
7ae6784055301ffd_cex,real_0013,real_0013::U0_direct_name_intersection,counterexamples/7ae6784055301ffd_cex.a.json,counterexamples/7ae6784055301ffd_cex.b.json,[0],[1],"[""d4"", ""new_n28"", ""s0""]",15837a842084d29c,true,formal_locality_barriers_v1
319d9ba0149a7274_cex,real_0013,real_0013::U0_direct_name_intersection,counterexamples/319d9ba0149a7274_cex.a.json,counterexamples/319d9ba0149a7274_cex.b.json,[0],[1],"[""new_n28"", ""s0""]",b215aafdda49784d,true,formal_locality_barriers_v1
76bc26ad0c324e2a_cex,real_0013,real_0013::U0_direct_name_intersection,counterexamples/76bc26ad0c324e2a_cex.a.json,counterexamples/76bc26ad0c324e2a_cex.b.json,[0],[1],"[""d4"", ""s0""]",4d30ac472249c0f4,true,formal_locality_barriers_v1
b6da44c3c6add78e_cex,real_0013,real_0013::U0_direct_name_intersection,counterexamples/b6da44c3c6add78e_cex.a.json,counterexamples/b6da44c3c6add78e_cex.b.json,[1],[0],"[""d4"", ""new_n28""]",01feb99dc8f25ff3,true,formal_locality_barriers_v1
9cc5e97009d064d0_cex,real_0013,real_0013::U0_direct_name_intersection,counterexamples/9cc5e97009d064d0_cex.a.json,counterexamples/9cc5e97009d064d0_cex.b.json,[0],[1],"[""s0""]",c8106d0f8954433e,true,formal_locality_barriers_v1
6f160acf6eccde85_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/6f160acf6eccde85_cex.a.json,counterexamples/6f160acf6eccde85_cex.b.json,[0],[1],"[""d7"", ""new_n15"", ""s0"", ""s2""]",69bd1538dea621c0,true,formal_locality_barriers_v1
fd99623545b923b1_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/fd99623545b923b1_cex.a.json,counterexamples/fd99623545b923b1_cex.b.json,[0],[1],"[""new_n15"", ""s0"", ""s2""]",eb28fa7e4e09239a,true,formal_locality_barriers_v1
090d4040bb9446bf_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/090d4040bb9446bf_cex.a.json,counterexamples/090d4040bb9446bf_cex.b.json,[0],[1],"[""d7"", ""s0"", ""s2""]",7c26a79609d9296c,true,formal_locality_barriers_v1
ede185670342e0fe_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/ede185670342e0fe_cex.a.json,counterexamples/ede185670342e0fe_cex.b.json,[0],[1],"[""d7"", ""new_n15"", ""s2""]",3e0b17c87cad2730,true,formal_locality_barriers_v1
fd42848d8f9efd53_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/fd42848d8f9efd53_cex.a.json,counterexamples/fd42848d8f9efd53_cex.b.json,[1],[0],"[""d7"", ""new_n15"", ""s0""]",2cdbf660b293e4ec,true,formal_locality_barriers_v1
7e936153aafb2e4d_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/7e936153aafb2e4d_cex.a.json,counterexamples/7e936153aafb2e4d_cex.b.json,[0],[1],"[""s0"", ""s2""]",85004e30e9c3ff59,true,formal_locality_barriers_v1
048296531397aeeb_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/048296531397aeeb_cex.a.json,counterexamples/048296531397aeeb_cex.b.json,[0],[1],"[""new_n15"", ""s2""]",15c6ba641b3205e0,true,formal_locality_barriers_v1
7bc6f0142fc3e680_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/7bc6f0142fc3e680_cex.a.json,counterexamples/7bc6f0142fc3e680_cex.b.json,[1],[0],"[""s0""]",c8106d0f8954433e,true,formal_locality_barriers_v1
896f957bd3199d49_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/896f957bd3199d49_cex.a.json,counterexamples/896f957bd3199d49_cex.b.json,[0],[1],"[""d7"", ""s2""]",c6db56f3204b014a,true,formal_locality_barriers_v1
88172fec38837be0_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/88172fec38837be0_cex.a.json,counterexamples/88172fec38837be0_cex.b.json,[0],[1],"[""d7"", ""new_n15""]",c04f5dfdf29da1d0,true,formal_locality_barriers_v1
66eacef24e2cbfae_cex,real_0014,real_0014::U0_direct_name_intersection,counterexamples/66eacef24e2cbfae_cex.a.json,counterexamples/66eacef24e2cbfae_cex.b.json,[0],[1],"[""s2""]",d6145b0b88d30c38,true,formal_locality_barriers_v1
b5552a51b9b6e3f0_cex,real_0015,real_0015::U0_direct_name_intersection,counterexamples/b5552a51b9b6e3f0_cex.a.json,counterexamples/b5552a51b9b6e3f0_cex.b.json,[0],[1],"[""d2""]",4157ff962f7acb9d,true,formal_locality_barriers_v1
9908755a4c59a5d5_cex,real_0015,real_0015::U0_direct_name_intersection,counterexamples/9908755a4c59a5d5_cex.a.json,counterexamples/9908755a4c59a5d5_cex.b.json,[1],[0],"[""d6"", ""new_n19"", ""s0""]",2d71e56f919c4e2f,true,formal_locality_barriers_v1
0b814746da360cba_cex,real_0015,real_0015::U0_direct_name_intersection,counterexamples/0b814746da360cba_cex.a.json,counterexamples/0b814746da360cba_cex.b.json,[1],[0],"[""new_n19"", ""s0""]",c5c0c2eb859343e9,true,formal_locality_barriers_v1
5419b2c90e4f8380_cex,real_0015,real_0015::U0_direct_name_intersection,counterexamples/5419b2c90e4f8380_cex.a.json,counterexamples/5419b2c90e4f8380_cex.b.json,[1],[0],"[""d6"", ""s0""]",3cbf49edcf6c0c9a,true,formal_locality_barriers_v1
e8e7617ae3dde1f3_cex,real_0015,real_0015::U0_direct_name_intersection,counterexamples/e8e7617ae3dde1f3_cex.a.json,counterexamples/e8e7617ae3dde1f3_cex.b.json,[0],[1],"[""d6"", ""new_n19""]",544dccdcfef8b071,true,formal_locality_barriers_v1
be76bf6d61d91cf3_cex,real_0015,real_0015::U0_direct_name_intersection,counterexamples/be76bf6d61d91cf3_cex.a.json,counterexamples/be76bf6d61d91cf3_cex.b.json,[1],[0],"[""s0""]",c8106d0f8954433e,true,formal_locality_barriers_v1
86600e8b572a4cc5_cex,real_0016,real_0016::U0_direct_name_intersection,counterexamples/86600e8b572a4cc5_cex.a.json,counterexamples/86600e8b572a4cc5_cex.b.json,[0],[1],"[""d0""]",bf6eaede065dfa45,true,formal_locality_barriers_v1
dfd242287f065b9f_cex,real_0016,real_0016::U0_direct_name_intersection,counterexamples/dfd242287f065b9f_cex.a.json,counterexamples/dfd242287f065b9f_cex.b.json,[1],[0],"[""d4"", ""s0""]",4d30ac472249c0f4,true,formal_locality_barriers_v1
65636a1dade60d85_cex,real_0016,real_0016::U0_direct_name_intersection,counterexamples/65636a1dade60d85_cex.a.json,counterexamples/65636a1dade60d85_cex.b.json,[1],[0],"[""s0""]",c8106d0f8954433e,true,formal_locality_barriers_v1
9837a4da8c893d5a_cex,real_0016,real_0016::U0_direct_name_intersection,counterexamples/9837a4da8c893d5a_cex.a.json,counterexamples/9837a4da8c893d5a_cex.b.json,[0],[1],"[""d4""]",23899e638c38c20b,true,formal_locality_barriers_v1
eaee47827255f779_cex,real_0017,real_0017::U0_direct_name_intersection,counterexamples/eaee47827255f779_cex.a.json,counterexamples/eaee47827255f779_cex.b.json,[1],[0],"[""d4""]",23899e638c38c20b,true,formal_locality_barriers_v1
88be70c255b1d060_cex,real_0017,real_0017::U0_direct_name_intersection,counterexamples/88be70c255b1d060_cex.a.json,counterexamples/88be70c255b1d060_cex.b.json,[1],[0],"[""new_n15"", ""s1""]",a94b7aeb1c0e5680,true,formal_locality_barriers_v1
941a91d962901901_cex,real_0017,real_0017::U0_direct_name_intersection,counterexamples/941a91d962901901_cex.a.json,counterexamples/941a91d962901901_cex.b.json,[1],[0],"[""s1""]",90afadf3c4de0eae,true,formal_locality_barriers_v1
0f913d099d4a6930_cex,real_0017,real_0017::U0_direct_name_intersection,counterexamples/0f913d099d4a6930_cex.a.json,counterexamples/0f913d099d4a6930_cex.b.json,[0],[1],"[""new_n15"", ""s2""]",15c6ba641b3205e0,true,formal_locality_barriers_v1
260e8a08aa0e5f97_cex,real_0017,real_0017::U0_direct_name_intersection,counterexamples/260e8a08aa0e5f97_cex.a.json,counterexamples/260e8a08aa0e5f97_cex.b.json,[0],[1],"[""s2""]",d6145b0b88d30c38,true,formal_locality_barriers_v1
5c08b5337992f87f_cex,real_0018,real_0018::U0_direct_name_intersection,counterexamples/5c08b5337992f87f_cex.a.json,counterexamples/5c08b5337992f87f_cex.b.json,[0],[1],"[""d6"", ""new_n19"", ""s1""]",f30036706bb241cf,true,formal_locality_barriers_v1
2fc8e78ebeffbd17_cex,real_0018,real_0018::U0_direct_name_intersection,counterexamples/2fc8e78ebeffbd17_cex.a.json,counterexamples/2fc8e78ebeffbd17_cex.b.json,[0],[1],"[""new_n19"", ""s1""]",10ced048b527cb91,true,formal_locality_barriers_v1
57c42cbc5090f649_cex,real_0018,real_0018::U0_direct_name_intersection,counterexamples/57c42cbc5090f649_cex.a.json,counterexamples/57c42cbc5090f649_cex.b.json,[0],[1],"[""d6"", ""s1""]",47ec7040688932b4,true,formal_locality_barriers_v1
79bf7963a587168e_cex,real_0018,real_0018::U0_direct_name_intersection,counterexamples/79bf7963a587168e_cex.a.json,counterexamples/79bf7963a587168e_cex.b.json,[1],[0],"[""d6""]",a2f6d0c11ca2f793,true,formal_locality_barriers_v1
d3e9d259c0d5c7a2_cex,real_0018,real_0018::U0_direct_name_intersection,counterexamples/d3e9d259c0d5c7a2_cex.a.json,counterexamples/d3e9d259c0d5c7a2_cex.b.json,[0],[1],"[""s1""]",90afadf3c4de0eae,true,formal_locality_barriers_v1
2e96c0df7465e878_cex,real_0018,real_0018::U0_direct_name_intersection,counterexamples/2e96c0df7465e878_cex.a.json,counterexamples/2e96c0df7465e878_cex.b.json,[0],[1],"[""s2""]",d6145b0b88d30c38,true,formal_locality_barriers_v1
bc01a575f5934156_cex,real_0019,real_0019::U0_direct_name_intersection,counterexamples/bc01a575f5934156_cex.a.json,counterexamples/bc01a575f5934156_cex.b.json,[0],[1],"[""d2"", ""s1""]",63086ec1de4159f6,true,formal_locality_barriers_v1
a64fef6fb45378cc_cex,real_0019,real_0019::U0_direct_name_intersection,counterexamples/a64fef6fb45378cc_cex.a.json,counterexamples/a64fef6fb45378cc_cex.b.json,[0],[1],"[""s1""]",90afadf3c4de0eae,true,formal_locality_barriers_v1
630b23ea4a76d343_cex,real_0019,real_0019::U0_direct_name_intersection,counterexamples/630b23ea4a76d343_cex.a.json,counterexamples/630b23ea4a76d343_cex.b.json,[1],[0],"[""d2"", ""new_n29""]",83bd73f084b08db9,true,formal_locality_barriers_v1
45a46793a88f5de9_cex,real_0019,real_0019::U0_direct_name_intersection,counterexamples/45a46793a88f5de9_cex.a.json,counterexamples/45a46793a88f5de9_cex.b.json,[0],[1],"[""new_n29"", ""s2""]",920f22c2fd614252,true,formal_locality_barriers_v1
e78d03d7d27e6cdc_cex,real_0019,real_0019::U0_direct_name_intersection,counterexamples/e78d03d7d27e6cdc_cex.a.json,counterexamples/e78d03d7d27e6cdc_cex.b.json,[0],[1],"[""d2"", ""s2""]",dee6bffffe75fcf4,true,formal_locality_barriers_v1
43e8f3672e488877_cex,real_0019,real_0019::U0_direct_name_intersection,counterexamples/43e8f3672e488877_cex.a.json,counterexamples/43e8f3672e488877_cex.b.json,[0],[1],"[""s2""]",d6145b0b88d30c38,true,formal_locality_barriers_v1
67cc8ea55f07b15c_cex,real_0020,real_0020::U0_direct_name_intersection,counterexamples/67cc8ea55f07b15c_cex.a.json,counterexamples/67cc8ea55f07b15c_cex.b.json,[0],[1],"[""d6"", ""d7"", ""s1""]",6bf4d11c13468541,true,formal_locality_barriers_v1
8eefa0795979bcd5_cex,real_0020,real_0020::U0_direct_name_intersection,counterexamples/8eefa0795979bcd5_cex.a.json,counterexamples/8eefa0795979bcd5_cex.b.json,[0],[1],"[""d7"", ""s1""]",e8e17526a75bb4f8,true,formal_locality_barriers_v1
b2ba4f3ef1e38253_cex,real_0020,real_0020::U0_direct_name_intersection,counterexamples/b2ba4f3ef1e38253_cex.a.json,counterexamples/b2ba4f3ef1e38253_cex.b.json,[0],[1],"[""d6"", ""s1""]",47ec7040688932b4,true,formal_locality_barriers_v1
1f69165708e73320_cex,real_0020,real_0020::U0_direct_name_intersection,counterexamples/1f69165708e73320_cex.a.json,counterexamples/1f69165708e73320_cex.b.json,[1],[0],"[""d6"", ""new_n20""]",ea1680c81fb98742,true,formal_locality_barriers_v1
0f67fe87ee61fd86_cex,real_0020,real_0020::U0_direct_name_intersection,counterexamples/0f67fe87ee61fd86_cex.a.json,counterexamples/0f67fe87ee61fd86_cex.b.json,[0],[1],"[""s1""]",90afadf3c4de0eae,true,formal_locality_barriers_v1
ae9e8165d57d8679_cex,real_0020,real_0020::U0_direct_name_intersection,counterexamples/ae9e8165d57d8679_cex.a.json,counterexamples/ae9e8165d57d8679_cex.b.json,[0],[1],"[""d7"", ""new_n20"", ""s2""]",7821ae6280f3be7f,true,formal_locality_barriers_v1
