counterexample_id,target_id,universe_id,difference_set,difference_set_width,difference_set_hash,schema_version
9f53a7042d751f4c_cex,real_0010,real_0010::U0_direct_name_intersection,"[""s0""]",1,c8106d0f8954433e,formal_locality_barriers_v1
e3dbc52c786e9dab_cex,real_0011,real_0011::U0_direct_name_intersection,"[""d5"", ""new_n24"", ""s0""]",3,5cc66851244aa6c0,formal_locality_barriers_v1
94eef836f86bbeb3_cex,real_0011,real_0011::U0_direct_name_intersection,"[""new_n24"", ""s0""]",2,b41bbd7b4aa77e4d,formal_locality_barriers_v1
66ca49ae0880f335_cex,real_0011,real_0011::U0_direct_name_intersection,"[""d5"", ""s0""]",2,3ff75295ac8d694e,formal_locality_barriers_v1
02f85a60034155a9_cex,real_0011,real_0011::U0_direct_name_intersection,"[""d5"", ""new_n24""]",2,78a859d22710676a,formal_locality_barriers_v1
8ea82415df748700_cex,real_0011,real_0011::U0_direct_name_intersection,"[""s0""]",1,c8106d0f8954433e,formal_locality_barriers_v1
c136fd2be1fdb1ab_cex,real_0012,real_0012::U0_direct_name_intersection,"[""d0"", ""new_n27""]",2,a7143bd50b0658b1,formal_locality_barriers_v1
5899de870afdcbb2_cex,real_0012,real_0012::U0_direct_name_intersection,"[""s0""]",1,c8106d0f8954433e,formal_locality_barriers_v1
7ae6784055301ffd_cex,real_0013,real_0013::U0_direct_name_intersection,"[""d4"", ""new_n28"", ""s0""]",3,15837a842084d29c,formal_locality_barriers_v1
319d9ba0149a7274_cex,real_0013,real_0013::U0_direct_name_intersection,"[""new_n28"", ""s0""]",2,b215aafdda49784d,formal_locality_barriers_v1
76bc26ad0c324e2a_cex,real_0013,real_0013::U0_direct_name_intersection,"[""d4"", ""s0""]",2,4d30ac472249c0f4,formal_locality_barriers_v1
b6da44c3c6add78e_cex,real_0013,real_0013::U0_direct_name_intersection,"[""d4"", ""new_n28""]",2,01feb99dc8f25ff3,formal_locality_barriers_v1
9cc5e97009d064d0_cex,real_0013,real_0013::U0_direct_name_intersection,"[""s0""]",1,c8106d0f8954433e,formal_locality_barriers_v1
6f160acf6eccde85_cex,real_0014,real_0014::U0_direct_name_intersection,"[""d7"", ""new_n15"", ""s0"", ""s2""]",4,69bd1538dea621c0,formal_locality_barriers_v1
fd99623545b923b1_cex,real_0014,real_0014::U0_direct_name_intersection,"[""new_n15"", ""s0"", ""s2""]",3,eb28fa7e4e09239a,formal_locality_barriers_v1
090d4040bb9446bf_cex,real_0014,real_0014::U0_direct_name_intersection,"[""d7"", ""s0"", ""s2""]",3,7c26a79609d9296c,formal_locality_barriers_v1
ede185670342e0fe_cex,real_0014,real_0014::U0_direct_name_intersection,"[""d7"", ""new_n15"", ""s2""]",3,3e0b17c87cad2730,formal_locality_barriers_v1
fd42848d8f9efd53_cex,real_0014,real_0014::U0_direct_name_intersection,"[""d7"", ""new_n15"", ""s0""]",3,2cdbf660b293e4ec,formal_locality_barriers_v1
7e936153aafb2e4d_cex,real_0014,real_0014::U0_direct_name_intersection,"[""s0"", ""s2""]",2,85004e30e9c3ff59,formal_locality_barriers_v1
048296531397aeeb_cex,real_0014,real_0014::U0_direct_name_intersection,"[""new_n15"", ""s2""]",2,15c6ba641b3205e0,formal_locality_barriers_v1
7bc6f0142fc3e680_cex,real_0014,real_0014::U0_direct_name_intersection,"[""s0""]",1,c8106d0f8954433e,formal_locality_barriers_v1
896f957bd3199d49_cex,real_0014,real_0014::U0_direct_name_intersection,"[""d7"", ""s2""]",2,c6db56f3204b014a,formal_locality_barriers_v1
88172fec38837be0_cex,real_0014,real_0014::U0_direct_name_intersection,"[""d7"", ""new_n15""]",2,c04f5dfdf29da1d0,formal_locality_barriers_v1
66eacef24e2cbfae_cex,real_0014,real_0014::U0_direct_name_intersection,"[""s2""]",1,d6145b0b88d30c38,formal_locality_barriers_v1
b5552a51b9b6e3f0_cex,real_0015,real_0015::U0_direct_name_intersection,"[""d2""]",1,4157ff962f7acb9d,formal_locality_barriers_v1
9908755a4c59a5d5_cex,real_0015,real_0015::U0_direct_name_intersection,"[""d6"", ""new_n19"", ""s0""]",3,2d71e56f919c4e2f,formal_locality_barriers_v1
0b814746da360cba_cex,real_0015,real_0015::U0_direct_name_intersection,"[""new_n19"", ""s0""]",2,c5c0c2eb859343e9,formal_locality_barriers_v1
5419b2c90e4f8380_cex,real_0015,real_0015::U0_direct_name_intersection,"[""d6"", ""s0""]",2,3cbf49edcf6c0c9a,formal_locality_barriers_v1
e8e7617ae3dde1f3_cex,real_0015,real_0015::U0_direct_name_intersection,"[""d6"", ""new_n19""]",2,544dccdcfef8b071,formal_locality_barriers_v1
be76bf6d61d91cf3_cex,real_0015,real_0015::U0_direct_name_intersection,"[""s0""]",1,c8106d0f8954433e,formal_locality_barriers_v1
86600e8b572a4cc5_cex,real_0016,real_0016::U0_direct_name_intersection,"[""d0""]",1,bf6eaede065dfa45,formal_locality_barriers_v1
dfd242287f065b9f_cex,real_0016,real_0016::U0_direct_name_intersection,"[""d4"", ""s0""]",2,4d30ac472249c0f4,formal_locality_barriers_v1
65636a1dade60d85_cex,real_0016,real_0016::U0_direct_name_intersection,"[""s0""]",1,c8106d0f8954433e,formal_locality_barriers_v1
9837a4da8c893d5a_cex,real_0016,real_0016::U0_direct_name_intersection,"[""d4""]",1,23899e638c38c20b,formal_locality_barriers_v1
eaee47827255f779_cex,real_0017,real_0017::U0_direct_name_intersection,"[""d4""]",1,23899e638c38c20b,formal_locality_barriers_v1
88be70c255b1d060_cex,real_0017,real_0017::U0_direct_name_intersection,"[""new_n15"", ""s1""]",2,a94b7aeb1c0e5680,formal_locality_barriers_v1
941a91d962901901_cex,real_0017,real_0017::U0_direct_name_intersection,"[""s1""]",1,90afadf3c4de0eae,formal_locality_barriers_v1
0f913d099d4a6930_cex,real_0017,real_0017::U0_direct_name_intersection,"[""new_n15"", ""s2""]",2,15c6ba641b3205e0,formal_locality_barriers_v1
260e8a08aa0e5f97_cex,real_0017,real_0017::U0_direct_name_intersection,"[""s2""]",1,d6145b0b88d30c38,formal_locality_barriers_v1
5c08b5337992f87f_cex,real_0018,real_0018::U0_direct_name_intersection,"[""d6"", ""new_n19"", ""s1""]",3,f30036706bb241cf,formal_locality_barriers_v1
2fc8e78ebeffbd17_cex,real_0018,real_0018::U0_direct_name_intersection,"[""new_n19"", ""s1""]",2,10ced048b527cb91,formal_locality_barriers_v1
57c42cbc5090f649_cex,real_0018,real_0018::U0_direct_name_intersection,"[""d6"", ""s1""]",2,47ec7040688932b4,formal_locality_barriers_v1
79bf7963a587168e_cex,real_0018,real_0018::U0_direct_name_intersection,"[""d6""]",1,a2f6d0c11ca2f793,formal_locality_barriers_v1
d3e9d259c0d5c7a2_cex,real_0018,real_0018::U0_direct_name_intersection,"[""s1""]",1,90afadf3c4de0eae,formal_locality_barriers_v1
2e96c0df7465e878_cex,real_0018,real_0018::U0_direct_name_intersection,"[""s2""]",1,d6145b0b88d30c38,formal_locality_barriers_v1
bc01a575f5934156_cex,real_0019,real_0019::U0_direct_name_intersection,"[""d2"", ""s1""]",2,63086ec1de4159f6,formal_locality_barriers_v1
a64fef6fb45378cc_cex,real_0019,real_0019::U0_direct_name_intersection,"[""s1""]",1,90afadf3c4de0eae,formal_locality_barriers_v1
630b23ea4a76d343_cex,real_0019,real_0019::U0_direct_name_intersection,"[""d2"", ""new_n29""]",2,83bd73f084b08db9,formal_locality_barriers_v1
45a46793a88f5de9_cex,real_0019,real_0019::U0_direct_name_intersection,"[""new_n29"", ""s2""]",2,920f22c2fd614252,formal_locality_barriers_v1
e78d03d7d27e6cdc_cex,real_0019,real_0019::U0_direct_name_intersection,"[""d2"", ""s2""]",2,dee6bffffe75fcf4,formal_locality_barriers_v1
43e8f3672e488877_cex,real_0019,real_0019::U0_direct_name_intersection,"[""s2""]",1,d6145b0b88d30c38,formal_locality_barriers_v1
67cc8ea55f07b15c_cex,real_0020,real_0020::U0_direct_name_intersection,"[""d6"", ""d7"", ""s1""]",3,6bf4d11c13468541,formal_locality_barriers_v1
8eefa0795979bcd5_cex,real_0020,real_0020::U0_direct_name_intersection,"[""d7"", ""s1""]",2,e8e17526a75bb4f8,formal_locality_barriers_v1
b2ba4f3ef1e38253_cex,real_0020,real_0020::U0_direct_name_intersection,"[""d6"", ""s1""]",2,47ec7040688932b4,formal_locality_barriers_v1
1f69165708e73320_cex,real_0020,real_0020::U0_direct_name_intersection,"[""d6"", ""new_n20""]",2,ea1680c81fb98742,formal_locality_barriers_v1
0f67fe87ee61fd86_cex,real_0020,real_0020::U0_direct_name_intersection,"[""s1""]",1,90afadf3c4de0eae,formal_locality_barriers_v1
ae9e8165d57d8679_cex,real_0020,real_0020::U0_direct_name_intersection,"[""d7"", ""new_n20"", ""s2""]",3,7821ae6280f3be7f,formal_locality_barriers_v1
